No.,Equipment Name,Serial No,SITE,Rated Power (MVA),HV Rate (kV),LV Rate (kV),Rated Voltage (kV),Service Type,Service Age (Year),Condition Health Index,Health Index Status,Estimated DP (From Furan),Estimated Remaining Life time (Year),Visual Inspection,Active Part,Insulation Resistance & PI,Insulation Power Factor,Exciting Current,Ratio&Polarity,Winding Resistance,1∅ Short Circuit Impedance,3∅ Short Circuit Impedance,Core to Ground,Bushing,Surge Arrester,Dynamic Resistance Measurement (OLTC),Frequency Response Analysis (FRA),%Moisture in paper (FDS),Main Tank Oil,DGA,Water Content,Dielectric Breakdown,PF at 25 °C,PF at 100 °C,Conductivity,Interfratial Tension (IFT),Acidity,Color,Inhibitor,Corrosive Sulfur,Passivator,Furan,Sludge,OLTC Oil,DGA (OLTC),Dielectric Breakdown (OLTC),Water Content (OLTC),Date To Assess,FAT,2011,2012,2013,Last PM,Next PM,Recommendation
35,21-90-ED-XT-TR4,14231662_4,GEN,1.6,6.6,0.4,6.6/0.4,Auxiliary,33,90,Healthy,-,-,A,A,A,A,A,A,A,Q,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04/01/2026,,,,,2019,2022,3Y PM program overdue.
35,61BBT01 (GH1 UAT1),3011080055,GHECO-ONE,60,23,11,23/11,UAT,16,85,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BBT02 (GH1 UAT2),3011080056,GHECO-ONE,60,23,11,23/11,UAT,16,85,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BBT03 (GH1 Excitation),JD85034202,GHECO-ONE,7,23,0.92,23/0.92,UAT,16,85,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BAT01 (GH1 GSUT),TP70279703,GHECO-ONE,875,245,23,245/23,GSUT,16,100,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BMT03 (Back Up),5513053,GHECO-ONE,10,22,11,22/11,Auxiliary,14,85,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BFT01 (LV TR-1),VN85040201_1,GHECO-ONE,2.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BFT02 (LV TR-2),VN85040201_2,GHECO-ONE,2.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BFT03 (LV TR-3),VN85040201_3,GHECO-ONE,2.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BFT04 (LV TR-4),VN85040201_4,GHECO-ONE,2.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BFT05 (LV TR-5),VN85040204_1,GHECO-ONE,2.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BFT06 (LV TR-6),VN85040204_2,GHECO-ONE,2.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BGT01 (LV ESP-1),VN85042301_1,GHECO-ONE,3.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BGT02 (LV ESP-2),VN85042301_2,GHECO-ONE,3.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BGT09 (LV SWFGD-1),VN85040202_1,GHECO-ONE,1.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BGT10 (LV SWFGD-2),VN85040202_2,GHECO-ONE,1.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BGT07 (LV ASH-1),VN85042302_2,GHECO-ONE,1.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BGT08 (LV ASH-2),VN85042302_1,GHECO-ONE,1.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BGT05 (LV CHS-1),VN13700702_2,GHECO-ONE,1,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BGT06 (LV CHS-2),VN13700702_1,GHECO-ONE,1,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BGT03 (LV CHS-3),VN13700701_2,GHECO-ONE,1.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61BGT04 (LV CHS-4),VN13700701_1,GHECO-ONE,1.5,10.5,0.4,10.5/0.4,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61GBY01GT001.35.EN,170709/1,GHECO-ONE,1.17,10.5,0.15,10.5/0.15,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61GBY01GT002.35.EN,170709/2,GHECO-ONE,1.17,10.5,0.15,10.5/0.15,Auxiliary,16,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
