SERIAL_NUMBER,DEVICE_CODE,LOCAL_EQUIPMENT_CODE,SITE,COMPANY_CODE,LOCATION_CODE,MANUFACTURING_DATE,BRAND,MANUFACTURER_COMPANY,MADE_IN,MODEL_TYPE,POWER_RATING,POWER_RATING_DETAIL,HV_RATED,LV_RATED,LV2_RATED,HV_RATED_A,LV_RATED_A,LV2_RATED_A,TYPE_OF_COOLING,TAP_CHANGER_TYPE,PHASES,VECTOR_GROUP,IMPEDANCE_MIDDLE_TAP,IMPEDANCE_DETAIL,STANDARD,TEMP_RISE_MAX,WINDING_INSULATION,TYPE_OF_INSULATION,TOTAL_MASS,CORE_AND_COIL_MASS,TANK_AND_FITTING_MASS,OIL_MASS,SHIPPING_MASS,OIL_QUANTITY,DIMENSION,SPECIFICATION,APPLICATION,BUSHING_LV_TYPE,BUSHING_HV_TYPE,REMARK,DATA,NO_WINDING,LOCATION_GPS,FILEUPLOAD,Service_Type,SPARE2,SPARE3,GI,API,IOI,OLTCI,BI,ARI,DGA,HI,Result_Date
4912021,23911-TR-010 (STG21),23911-TR-010 (STG21),CUP-2,-,-,2007-05-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,-,41000,41000/54000,117,11,,202.3,2152,,ONAN/ONAF,NLTC,3,YNd11,14.62,14.62% at 44 MVA,IEC 60076,55,-,Mineral Oil,69000,-,-,-,54000,18000,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.754745, 101.164276",,GSUT,,100,5,20,15,0,17.334,20,20,97,2025-04-02
4912022,24201-TR-011,24201-TR-011,CUP-2,-,-,2007-05-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,-,8800,-,11,7,,451.9,725.8,,ONAN,OLTC1,3,Dyn5,7.3,"7.3% at 8,800 kVA",IEC 60076,55,-,Mineral Oil,25000,-,-,-,24000,6500,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.754344, 101.163317",,Unit Auxiliary Transformer,,83.33,5,20,0,20,0,0,0,75,2026-03-31
4912023,24201-TR-012,24201-TR-012,CUP-2,-,-,2007-05-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,-,8800,-,11,7,,461.9,725.8,,ONAN,OLTC1,3,Dyn5,7.3,"7.3% at 8,800 kVA",IEC 60076,55,-,Mineral Oil,25000,-,-,-,24000,6500,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.754342, 101.163245",,Unit Auxiliary Transformer,,83.33,5,20,3,20,0,0,0,80,2026-02-26
5000574,24201-TR-111,24201-TR-111,CUP-2,-,-,2007-05-01 00:00:00,EKARAT,EKARAT,THAILAND,10FL,2000,-,6.9,0.4,,167.35,2886.75,,ONAN,NLTC,3,Dyn5,5.02,-,IEC 60076,55,A,Mineral Oil,6655,-,-,-,-,1548,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.754342, 101.163504",,Auxiliary Transformer,,100,5,13,15,,,,,83,2026-02-26
5000575,24201-TR-112,24201-TR-112,CUP-2,-,-,2007-04-09 00:00:00,EKARAT,EKARAT,THAILAND,10FL,2000,-,6.9,0.4,,167.35,2886.75,,ONAN,NLTC,3,Dyn5,4.95,-,IEC 60076,55,A,Mineral Oil,6655,-,-,-,-,1548,2480x2590x2535 mm.,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.754334, 101.163461",,Auxiliary Transformer,,100,5,10,15,,,,,75,2026-04-01
5000576,24201-TR-121,24201-TR-121,CUP-2,-,-,2007-04-09 00:00:00,EKARAT,EKARAT,THAILAND,10FL,2000,-,6.9,0.4,,167.35,2886.75,,ONAN,NLTC,3,Dyn5,5.02,-,IEC 60076,55,A,Mineral Oil,6655,-,-,-,-,1548,2480x2590x2535 mm.,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.754331, 101.163416",,Auxiliary Transformer,,100,5,18,15,,,,,95,2026-04-01
5000577,24201-TR-122,24201-TR-122,CUP-2,-,-,2007-04-09 00:00:00,EKARAT,EKARAT,THAILAND,10FL,2000,-,6.9,0.4,,167.35,2886.75,,ONAN,NLTC,3,Dyn5,5.00,-,IEC 60076,55,A,Mineral Oil,6655,-,-,-,-,1548,2480x2590x2535 mm.,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.754329, 101.163372",,Auxiliary Transformer,,100,5,13,15,,,,,83,2026-02-26
5102852,36120-TR-201,36120-TR-201,CUP-3,-,-,2008-11-24 00:00:00,EKARAT,EKARAT,THAILAND,104TL,10000,-,22,6.9,,262.43,836.74,,ONAN,NLTC,3,Dyn5,,,IEC 60076,55,-,Mineral Oil,26330,10500,8330,5910,19330,8650,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.693561, 101.122665",,Auxiliary Transformer,,100,5,18,15,,,,,95,2026-04-02
5103168,36120-TR-301,36120-TR-301,CUP-3,-,-,2008-11-14 00:00:00,EKARAT,EKARAT,THAILAND,12FL,2000,-,6.6,0.4,,174.95,2886.75,,ONAN,NLTC,3,Dyn5,6.52,-,IEC 60076,55,-,Mineral Oil,7460,2800,3270,1390,7460,1570,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.693552, 101.122629",,Auxiliary Transformer,,100,5,13,15,,,,,83,2026-04-02
5103169,36120-TR-302,36120-TR-302,CUP-3,-,-,2008-11-14 00:00:00,EKARAT,EKARAT,THAILAND,12FL,2000,-,6.6,0.4,,174.95,2886.75,,ONAN,NLTC,3,Dyn5,6.55,-,IEC 60076,55,-,Mineral Oil,7460,2800,3270,1390,7460,1570,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.693556, 101.122569",,Auxiliary Transformer,,100,5,13,15,,,,,83,2026-04-04
