SN&Ph.,Serial_No,Parent_Serial_No,Status,Phase,Manufacturer,Manufacturer_Year,Model,Type,kV,mA,Watts,Capacitance,PF,PF_20,Corr_Fact,G_Ohm,layer,mA2,Watts2,File_Upload
PP0102B01H2,48017,PP0102B01,Energized,H2,TRIDELTA,2005,-,Porcelain,108,0.16,123.74,-,-,-,-,-,1,-,-,-
PP0102B01H3,48018,PP0102B01,Energized,H3,TRIDELTA,2005,-,Porcelain,108,0.16,114.12,-,-,-,-,-,1,-,-,-
PP0158B01H1,60648,PP0158B01,Energized,H1,TRIDELTA,2007,SB 108/10.3-0,-,108,0.15,106.78,-,-,-,-,41,1,-,-,-
PP0158B01H2,60649,PP0158B01,Energized,H2,TRIDELTA,2007,SB 108/10.3-0,-,108,0.15,106.79,-,-,-,-,39.4,1,-,-,-
PP0158B01H3,60650,PP0158B01,Energized,H3,TRIDELTA,2007,SB 108/10.3-0,-,108,0.16,118,-,-,-,-,68,1,-,-,-
PP0181B01H1,60651,PP0181B01,Energized,H1,TRIDELTA,2007,SB 108/10.3-0,-,108,0.15,104.44,-,-,-,-,28,1,-,-,-
PP0181B01H2,60652,PP0181B01,Energized,H2,TRIDELTA,2007,SB 108/10.3-0,-,108,0.15,101.98,-,-,-,-,68.8,1,-,-,-
PP0181B01H3,60653,PP0181B01,Energized,H3,TRIDELTA,2007,SB 108/10.3-0,-,108,0.15,101.57,-,-,-,-,62.4,1,-,-,-
PP0174B01H1,64331,PP0174B01,Energized,H1,TRIDELTA,2007,SB108/10.3-0,Porcelain,108,0.16,220,-,-,-,10,138,1,-,-,-
PP0174B01H2,64332,PP0174B01,Energized,H2,TRIDELTA,2007,SB108/10.3-0,Porcelain,108,0.15,211,-,-,-,10,140,1,-,-,-
PP0174B01H3,64333,PP0174B01,Energized,H3,TRIDELTA,2007,SB108/10.3-0,Porcelain,108,0.15,218,-,-,-,10,145,1,-,-,-
PP0225B01H1,72058,PP0225B01,Energized,H1,TRIDELTA,2009,SB 108/10.3-0,Porcelain,108,0.16,123.29,-,-,-,50,-,1,-,-,-
PP0225B01H2,72059,PP0225B01,Energized,H2,TRIDELTA,2009,SB 108/10.3-0,Porcelain,108,0.16,115.17,-,-,-,50,-,1,-,-,-
PP0225B01H3,72060,PP0225B01,Energized,H3,TRIDELTA,2009,SB 108/10.3-0,Porcelain,108,0.16,113.35,-,-,-,50,-,1,-,-,-
PTE 1689/04X1,75001546,PTE 1689/04,Energized,X1,ABB,1997,-,EXLIM Q108-AH123,108,0.145,66.2,-,-,-,10,-,1,-,-,-
EDP011601X3,750055600,EDP011601,Energized,X3,ABB,1997,-,EXLIM R024-AV024M,24,0.06,10.69,-,-,-,-,-,1,-,-,-
