SERIAL_NUMBER,DATE,TEST_VOLTAGE,H1MAX,H1CENTER,H1MIN,H1TAP1,H1NO1,H1TAP2,H1NO2,H2MAX,H2CENTER,H2MIN,H2NO1,H2NO2,H3MAX,H3CENTER,H3MIN,H3NO1,H3NO2,ERRH1MAX,ERRH1CENTER,ERRH1MIN,ERRH1TAP1,ERRH1TAP2,ERRH2MAX,ERRH2CENTER,ERRH2MIN,ERRH2TAP1,ERRH2TAP2,ERRH3MAX,ERRH3CENTER,ERRH3MIN,ERRH3TAP1,ERRH3TAP2,XTESTV,X1,X2,X3,YTESTV,Y1,Y2,Y3,H1COM1,H2COM1,H3COM1,H1COM2,H2COM2,H3COM2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR
9624007,2024-08-17 00:00:00,3000,70.962,62.201,71.220,,,,,153.062,134.275,153.228,,,153.688,135.117,154.058,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,Mr. Polasart T.,,HITACHI,,TESTRANO 600,FJ571Z,2025-05-01,38,38,38,54,3Year PM Transformer,0
ET8712_2,2024-08-11 00:00:00,10000,49.555,55.256,72.2,-,-,-,-,36.529,40.936,54.333,-,-,49.514,55.112,71.895,-,-,1.13,0.47,0.28,-,-,1.47,2.34,6.54,-,-,1.05,0.20,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Polasart T.,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,FJ571Z,,,,,,,6.54
4912020,2024-07-14 00:00:00,10000,-,-,-,2,34.34,-,-,-,-,-,24.28,-,-,-,-,34.1,-,-,-,-,0.00,-,-,-,-,0.00,-,-,-,-,0.00,-,-,-,-,-,-,-,-,-,34.34,24.28,34.1,-,-,-,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27,32,42,42,58,,0
PP0174B01,2024-07-04 00:00:00,10000,-,64.31,-,-,-,-,-,-,47.55,-,-,-,-,64.4,-,-,-,-,0.48,-,-,-,-,1.17,-,-,-,-,0.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2023-12-27,33,34,34,67,,1.17
PTE 1689/01,2024-06-20 00:00:00,10000,17.720,20.786,28.817,,,,,12.486,14.307,18.935,,,19.234,21.868,29.629,,,1.54,0.64,2.26,,,0.82,0.75,0.16,,,2.20,1.14,0.83,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,,32,40,40,73,,2.26
667001,2024-05-08 00:00:00,10,0.75,1.01,1.21,,,,,1.46,1.84,2.15,,,1.73,1.82,2.2,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,-,-,-,-,-,-,-,-,,,,,,,,Krittima,Mr.Jirasak S.,"Fuji Tusco Co.,Ltd.",GPSC,TESTRANO 600,DE280Y,,34.3,31,31,49,,0
4912019,2024-03-04 00:00:00,10000,-,-,-,2,34.9,-,-,-,-,-,24.1,-,-,-,-,34.86,-,-,-,-,5.76,-,-,-,-,4.78,-,-,-,-,5.64,-,-,-,-,-,-,-,-,-,33,23,33,-,-,-,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2023-12-25,30,30,30,60,,5.76
4912019,2024-02-22 00:00:00,10000,-,-,-,2,33.269,-,-,-,-,-,23.840,-,-,-,-,33.645,-,-,-,-,0.82,-,-,-,-,3.65,-,-,-,-,1.95,-,-,-,-,-,-,-,-,-,33,23,33,-,-,-,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2023-12-25,37,33,33,54,,3.65
5513260,2024-02-12 00:00:00,5000,,20.10,,,,,,,15.14,,,,,20.21,,,,,0.02,,,,,0.01,,,,,0.00,,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,,34,40,40,50,,0.02
512033,2024-02-09 00:00:00,10000,43.407,56.598,75.954,,-,,-,30.26,39.924,53.714,-,-,43.75,57.01,76.648,-,-,2.38,1.91,0.71,-,-,0.87,1.17,0.34,-,-,3.15,2.46,0.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-01-18,30,30,30,60,,3.15
5513260,2024-02-06 00:00:00,5,-,-,-,3,20.11,,-,-,-,-,15.14,-,-,-,-,20.21,-,-,-,-,0.55,-,-,-,-,0.93,-,-,-,-,1.05,-,-,-,-,-,-,-,-,-,20,15,20,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,,,,,,,,,1.05
508038,2023-12-24 00:00:00,10,28.201,37.317,52.310,,,,,22.757,28.789,39.066,,,29.350,38.365,53.735,,,13.47,13.50,14.18,,,13.01,13.76,13.83,,,12.11,12.73,13.12,,,,,,,,,,,,,,,,,,Mr. Methee Meechitti,Mr. Methee Meechitti,GPSC,GPSC,TESTRANO 600,DA193X,2018-02-18,32,32,32,50,,14.18
ET8713/1,2023-11-01 00:00:00,10000,52.144,58.008,76.099,,-,,-,39.14,43.523,57.544,-,-,52.592,58.394,76.492,-,-,0.01,0.01,0.01,-,-,0.00,0.01,0.01,-,-,0.00,0.01,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Prawit N.,Mr.Jirasak S.,Hitachi,GPSC,TESTRANO 600,,,,,,,,0.09
PP0084B01,2023-11-01 00:00:00,10000,52.144,58.008,76.099,-,-,-,-,39.140,43.523,57.544,-,-,52.592,58.394,76.429,-,-,0.01,0.01,0.01,-,-,0.00,0.01,0.01,-,-,0.00,0.01,0.01,-,-,,,,,,,,,-,-,-,-,-,-,,Mr.Prawit N.,Mr.Jirasak S.,Hitachi,GPSC,TESTRANO 600,,,,,,,,0.01
ET8712/1,2023-10-30 00:00:00,10,53.62,59.56,77.29,,-,,-,38.04,42.05,55.27,-,-,53.25,59.52,76.58,-,-,5.47,5.92,7.38,-,-,12.29,12.25,10.84,-,-,6.25,5.90,7.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Prawit N.,Mr.Jirasak S.,Hitachi,GPSC,,,,,,,,,12.29
EDP018401,2023-10-29 00:00:00,10,7.524,8.994,10.941,,,,,2.429,2.950,3.620,,,7.317,8.806,10.724,,,0.24,0.00,0.00,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,Mr. Chairat P.,Mr. Chairat P.,HITACHI,HITACHI,TESTRANO 600,CH158W,2018-05-14,32,32,32,71,,0.24
ET8712/1,2023-10-27 00:00:00,10000,56.72,63.31,83.45,,-,,-,43.37,47.92,61.99,-,-,56.8,63.25,83.17,-,-,0.00,0.00,0.00,-,-,0.00,0.00,0.00,-,-,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Prawit N.,-,Hitachi,GPSC,,,,,,,,,0
5000576,2023-10-25 00:00:00,2000,-,435.28,-,-,-,-,-,-,316.87,-,-,-,-,423.91,-,-,-,-,0.06,-,-,-,-,0.28,-,-,-,-,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09,34,34,34,63,,0.28
4912021,2023-10-25 00:00:00,10000,-,-,-,-,-,2,34.68,-,-,-,-,25.29,-,-,-,-,34.91,-,-,-,-,0.23,-,-,-,-,0.36,-,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-,34.6,25.2,34.9,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2023-08-27,34,33,33,58,,0.36
5000577,2023-10-23 00:00:00,2000,-,442.094,-,-,-,-,-,-,324.627,-,-,-,-,437.71,-,-,-,-,0.02,-,-,-,-,0.19,-,-,-,-,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09,34,35,35,64,,0.19
9724075,2023-10-17 00:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,147.671,115.473,155.606,,,,,,,,,,,,Mr. Prawit N.,,HITACHI,,,,,33,33,33,50,,
4912023,2023-10-13 00:00:00,200,14.535,17.586,21.942,-,-,-,-,10.858,13.07,16.128,-,-,14.686,17.769,22.14,-,-,0.03,0.03,0.01,-,-,0.07,0.00,0.05,-,-,0.04,0.05,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09,38,36,36,49,,0.07
6512363,2023-10-10 00:00:00,200,5.7718,4.4117,5.1583,,,,,6.7479,5.3742,6.3896,,,8.0179,6.7664,7.6183,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,-,-,-,-,-,-,-,-,,,,,,,,Mr. PANOM,,TIRATHAI,,,,,30.8,30,30,78.6,SAT,0
4902687,2023-10-09 00:00:00,6000,-,-,-,4,144.99,-,-,-,-,-,105,-,-,-,-,143.852,-,-,-,-,0.69,-,-,-,-,0.00,-,-,-,-,0.60,-,-,-,-,-,-,-,-,-,144,105,143,-,-,-,,Mr.Prawit N.,Mr.Aekkarat M.,Hitachi Energy,GPSC,,,,,,,,,0.69
4803167,2023-10-08 00:00:00,3000,-,96.3,-,-,-,-,-,-,71.35,-,-,-,-,95.29,-,-,-,-,0.31,-,-,-,-,0.49,-,-,-,-,0.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Prawit N.,Mr.Aekkarat M.,Hitachi Energy,GPSC,,,,,,,,,0.49
4811735,2023-10-07 00:00:00,10000,-,83.913,-,,-,,-,-,60.188,-,-,-,-,86.315,-,-,-,-,0.87,-,-,-,-,0.01,-,-,-,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak Suksakun,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2021-08-27,31,30,30,73,,0.87
4912022,2023-10-06 00:00:00,200,13.98,16.954,21.046,-,-,-,-,10.381,12.589,15.658,-,-,14.213,17.212,21.417,-,-,0.58,0.32,0.22,-,-,0.79,0.71,0.37,-,-,0.09,0.07,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09,32,40,38,69,,0.79
5000574,2023-10-05 00:00:00,2000,-,309.612,-,-,-,-,-,-,136.599,-,-,-,-,313.469,-,-,-,-,0.20,-,-,-,-,0.44,-,-,-,-,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09,35,34,34,63,,0.44
