Serial_No,Site,Model_Type,Power_Rated,HV_Rated,LV_Rated,Test_Date,TurnRatio_HL1_Tap_Max_HV,TurnRatio_HL1_Tap_Max_LV,TurnRatio_HL1_Tap_Max_Ratio,TurnRatio_HL1_Tap_Cen_HV,TurnRatio_HL1_Tap_Cen_LV,TurnRatio_HL1_Tap_Cen_Ratio,TurnRatio_HL1_Tap_Min_HV,TurnRatio_HL1_Tap_Min_LV,TurnRatio_HL1_Tap_Min_Ratio,TurnRatio_HL2_Tap_Max_HV,TurnRatio_HL2_Tap_Max_LV,TurnRatio_HL2_Tap_Max_Ratio,TurnRatio_HL2_Tap_Cen_HV,TurnRatio_HL2_Tap_Cen_LV,TurnRatio_HL2_Tap_Cen_Ratio,TurnRatio_HL2_Tap_Min_HV,TurnRatio_HL2_Tap_Min_LV,TurnRatio_HL2_Tap_Min_Ratio,Iexc_Max_A,Iexc_Max_B,Iexc_Max_C,Iexc_Cen_A,Iexc_Cen_B,Iexc_Cen_C,Iexc_Min_A,Iexc_Min_B,Iexc_Min_C,PF_C_Main_Tank,PF_C_OLTC,PF_C_Winding_HLHG,PF_C_Winding_HL,PF_C_Winding_HG,PF_C_Winding_LHLG,PF_C_Winding_LH,PF_C_Winding_LG,PF_C_Winding_LTLG,PF_C_Winding_LT,PF_C_Winding_L,PF_C_Winding_TGTH,PF_C_Winding_TH,PF_C_Winding_TG,ShortZ_X_Max,ShortZ_X_Cen,ShortZ_X_Min,ShortZ_Y_Max,ShortZ_Y_Cen,ShortZ_Y_Min,WindResist_Winding_Temp,WindResist_Corrected_Temp,WindResist_A_Tap_Max,WindResist_B_Tap_Max,WindResist_C_Tap_Max,WindResist_A_Tap_Cen,WindResist_B_Tap_Cen,WindResist_C_Tap_Cen,WindResist_A_Tap_Min,WindResist_B_Tap_Min,WindResist_C_Tap_Min,WindResist_LV_A,WindResist_LV_B,WindResist_LV_C,WindResist_TV_A,WindResist_TV_B,WindResist_TV_C,PF_Result,TR_Result,Exci_Result,Short_Result,WR_Result
A1A69683T002-2,SRC,-,319000,230,15.2,2023-11-14,241500,15200,9.17,230000,15200,8.73,218500,15200,8.29,,,,,,,,,,,,,,,,,,,,,18628,13970,4658,40867,13969,26898,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,10.46,,,,,32,75,NaN,NaN,NaN,NaN,NaN,NaN,203.3525,203.6893,203.9448,1.7653,1.7653,1.7653,NaN,NaN,NaN,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
E541351_1,SITE2,,1250,11,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
E541351_2,SITE2,,1250,6.6,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
E541361_1,SITE2,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
E541361_2,SITE2,,1250,11,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
EDP004301,SITE5,-,20000,115,22,1995-06-14,126500,22000,9.959,115000,22000,9.054,103500,22000,8.148,,,,,,,,,,,,,,,,,,,,,8734.5,5771.3,2963.2,14972.6,5770.1,9202.5,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",12.42,12.16,11.75,,,,30,75,2460.4372,2464.5327,2459.5011,2186.2752,2184.2860,2185.6902,2466.0539,2463.5966,2464.6497,30.5884,30.6528,30.7511,,,,Oldest Test,Factory Test,,Factory Test,Factory Test
EDP008001,SITE3,-,50000,112500,23000,2018-06-20,129410,23000,3.2485,112500,23000,2.824,95590,23000,2.3995,,,,,,,,,,45,29,47,59,40,60,79,54,81,,,11170,7468,4115,17780,7420,10360,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",16.1,14.92,14.46,,,,38,75,432.1460,432.8582,433.0092,348.1495,348.3255,348.0177,432.1438,432.9604,432.8377,25.7913,25.8151,25.8038,,,,,,,,
EDP011601,3,,50000,112.5,23,2019-03-13,129410,23000,3.2485,114380,23000,2.824,95590,23000,2.3995,,,,,,,,,,44.795,28.366,43.985,57.983,38.254,56.990,78.018,52.0118,76.924,,,11501.5,7376.8,4124.5,17116.0,7374.9,9740.8,,,,,,,15.97,14.81,14.35,,,,33,75,436.7606,437.8806,440.6354,351.5712,351.9935,353.8007,436.7976,437.4780,439.8649,25.6983,25.6694,25.7932,,,,,,,,
EDP018401,SITE5,-,25000,115,22,2001-04-03,126500,22000,5.750,115000,22000,5.227,103500,22000,4.705,,,,,,,,,,7.542,2.429,7.317,8.994,2.950,8.806,10.941,3.620,10.724,,,21100,12200,8900,27100,12200,14900,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",12.55,12.03,11.64,,,,30,75,2512.0401,2509.6998,2519.4119,2230.8573,2231.4423,2240.4524,2510.6359,2507.4766,2516.4866,32.3354,32.3272,32.4583,,,,,,,,
ET8712/1,SITE5,-,48000,123,11,1999-12-21,130688,11000,6.859,123000,11000,6.456,106088,11000,5.568,,,,,,,,,,56.72,43.37,56.8,63.31,47.92,63.25,83.45,61.99,83.17,,,18701.5,14589.9,4111.6,27096.6,14589.5,12507.1,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",10.98,11.97,14.99,,,,30.1,75,478.5202,476.2978,479.2220,451.1495,449.1610,451.8513,477.7014,476.0639,478.7542,5.7783,5.8368,5.8134,,,,,,,,
ET8712_2,SITE5,,48000,123,11,1999-12-27,130688,11000,6.859,123000,11000,6.456,106088,11000,5.568,,,,,,,,,,49,36,49,55,40,55,72,51,72,,,17892,14044.4,3847.8,28702.1,14044.4,14660.2,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",10.84,11.80,14.88,,,,30.25,75,477.6646,479.8857,478.9505,450.4263,452.6474,451.9460,476.9632,479.5350,478.4829,5.8568,5.8451,5.8919,,,,,,,,
ET8713/1,SITE5,-,52000,123,10.5,2022-12-05,130688,10500,7.186,123000,10500,6.763,106088,10500,5.833,,,,,,,,,,52.14,39.14,52.59,58.0,43.52,58.39,76.09,57.54,76.42,,,21570.2,17132.3,4437.9,31008.2,17183.9,13824.3,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",10.73,11.71,14.55,,,,40,75,304.8998,307.0759,306.1851,287.6828,289.7348,289.7123,305.3057,307.6847,306.6136,5.6150,5.6150,5.6150,,,,,,,,
EV9277_1,SITE5,-,2000,11,6.9,1999-12-28,11550,6900,2.899,11000,6900,2.761,10450,6900,2.623,11550,420,47.631,11000,420,45.363,10450,420,43.095,,,,,,,,,,,,5921.8,5127,794.8,881.6,37.3,844.3,,,,188164.2,2300.7,185863.5,,13.87,,,13.20,,33.15,75,173.1072,174.1480,173.6854,165.8222,165.3596,165.7065,157.0338,156.6869,157.3807,234.2787,235.5507,235.2038,0.5251,0.5059,0.5356,Lastest Test,Factory Test,,Factory Test,Factory Test
EV9277_2,SITE5,-,2000,11,6.9,2000-01-01,11550,6900,2.90,11000,6900,2.76,10450,6900,2.62,11550,420,47.63,11000,420,45.36,10450,420,43.10,,,,,,,,,,,,6036.9,5243.3,793.6,877.1,36.1,841,,,,187374,2225.5,185148.5,,13.87,,,13.23,,34.35,75,174.2916,173.6009,174.0614,167.1542,165.3123,166.4635,158.4051,156.5631,158.1748,233.8086,234.3842,235.9959,0.5106,0.4987,0.5106,,Factory Test,,Factory Test,Factory Test
FC203816,SITE3,-,1600,6.9,0.4,2019-08-25,7245,400,31.5,6900,400,29.8779,6555,400,28.5,,,,,,,,,,,,,178.784,80.923,176.237,,,,,,3378.5,2510.5,868.1,7257.9,2510,4747.6,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.13,,,,,35,75,,,,326.7424,324.9291,326.7137,,,,0.5601,0.5517,0.5624,,,,,,,,
JD85034202,GHECO-ONE,-,7000,230,0.92,2017-01-11,24150,920,,23000,920,21.6506,21850,920,,,,,,,,,,,,,,69,68,97,,,,,,7300,4550,2750,15635.5,4558.8,11076.7,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.74,,,,,31,75,450.4362,472.4684,472.5849,450.4362,451.3687,451.6019,427.7045,428.2874,428.5205,0.6621,0.6586,0.6481,,,,,,,,
K757926,SITE3,4GB5939-9DC,1000,6.9,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
K757927,SITE3,4GB5939-9DC,800,6.9,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
K810289,SITE3,4GD6543-9DG,2900,6.9,1.8,2019-11-28,,,,6900,1800,3.3198,,,,,,,,,,,,,,,,577.919,288.074,600.648,,,,,,1642.9,1143.9,480.9,3025.9,1145.5,1880.9,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.9,,,,,32,75,,,,71.6728,72.5484,71.7239,,,,3.3052,3.2680,3.2680,,,,Lastest Test,Lastest Test,Lastest Test,,
K810290,SITE3,4GD6243-1DG,1430,6.9,0.54,2019-11-28,7245,540,11.619,6900,540,11.0659,6555,540,10.513,-,-,-,-,-,-,-,-,-,-,-,-,293.962,136.632,290.895,-,-,-,,,1267,983.1,283.9,2613.4,983.8,1629.4,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,6.3,-,,,,33,75,NaN,NaN,NaN,241.8589,241.9388,241.8300,NaN,NaN,NaN,1.2484,1.2264,1.2276,NaN,NaN,NaN,,,,,
K810291,SITE3,4GD5943-1DG,850,6.9,0.54,2019-11-28,,,,6900,540,11.0655,,,,,,,,,,,,,,,,88.077,207.331,206.822,,,,,,1001.7,770.8,230.9,1976.0,771.3,1204.6,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.2,,,,,29,75,,,,484.3716,485.4522,484.7393,,,,2.1401,2.1201,2.1178,,,,,,,,
N/A,SITE3,,1600,6.9,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
O61539,SITE5,-,1250,11,0.4,2006-05-23,11550,400,50.01,11000,400,47.63,10450,400,45.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.94,,,,,31.5,75,,,,1120.7158,1122.5774,1120.9485,,,,1.3520,1.3381,1.3688,,,,,Factory Test,,Factory Test,Factory Test
PBE0579,SITE3,,1150,11.5,0.416,,12075,416,50.313,11500,416,47.917,10925,416,45.521,,,,,,,,,,,,,5.991,6.643,6.564,,,,,,8751.2,7754.3,996.9,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.62,,,,,40,75,,,,1625.8616,1637.1366,1625.8616,,,,1.0272,0.9911,0.9764,,,,Lastest Test,,Lastest Test,,Lastest Test
PBE0580,SITE3,,1150,11.5,0.416,,12075,416,50.313,11500,416,47.917,10925,416,45.521,,,,,,,,,,,,,5.792,7.201,6.685,,,,,,8728.1,7776.0,952.1,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.84,,,,,38,75,,,,1609.4000,1628.7083,1634.3872,,,,1.0563,0.9927,0.9904,,,,,,,,
PBJ1198,SITE3,-,1150,11.5,0.416,,12075,416,50.3125,11500,416,47.917,10925,416,45.521,,,,,,,,,,,,,3.697,5.301,4.443,,,,,,8852.7,7622.5,1230.2,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.77,,,,,45,75,,,,1579.0590,1598.9911,1591.2397,,,,1.0442,1.0121,1.0165,,,,,,,Factory Test,Lastest Test
PBJ1200,SITE3,-,1150,11.5,0.416,2017-06-20,12075,416,50.27,11500,416,47.879,10925,416,45.486,-,-,-,-,-,-,-,-,-,-,-,-,2.999,3.530,3.864,-,-,-,,,8663.3,7532.4,1130.9,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,5.67,-,-,-,-,50,75,NaN,NaN,NaN,1822.1880,1741.6854,1751.4763,NaN,NaN,NaN,1.0389,1.0172,1.0085,NaN,NaN,NaN,,,,,
PBK1325,SITE3,,1150,11.5,0.416,,12075,416,50.275,11500,416,47.917,10925,416,45.521,,,,,,,,,,,,,3.408,4.248,4.240,,,,,,8437,7433,1004,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.75,,,,,40,75,,,,1544.6812,1542.4262,1545.8087,,,,1.0847,1.0869,1.0756,,,,,,,,Oldest Test
PBL1465,SITE3,,1150,11.5,0.416,,12075,416,50.275,11500,416,47.881,10925,416,26.262,,,,,,,,,,,,,3.346,4.690,4.240,,,,,,8697,7591,1106,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.83,,,,,40,75,,,,1542.4262,1541.2987,1539.0437,,,,1218.8324,1185.0073,1159.0747,,,,,,,,
PCD0277,SITE3,,862,6.9,0.416,,7245,416,17.416,6900,416,16.587,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.17,,,,,,75,,,,,,,,,,,,,,,,,,,,
PCL1429,SITE3,,862,6.9,0.416,,7245,416,17.416,6900,416,16.587,6555,416,15.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.31,,,,,,75,,,,,,,,,,,,,,,,Oldest Test,,Oldest Test,,Oldest Test
PP0016B01,SITE3,-,51500,118,11.50,2004-03-30,123900,11500,6.2203,118000,11500,5.9241,112100,11500,5.6279,,,,,,,,,,3.050,3.852,4.241,3.603,4.586,5.001,4.348,5.553,6.047,,,118820,6892,111927,18842,6895,11947,,,,,,,12.67,12.32,12.01,,,,31.5,75,493.74,493.74,493.74,457.58,457.58,457.58,420.06,420.06,420.06,7.9818,7.9818,8.0284,,,,,,,,
PP0041B01,SITE5,-,20000,115,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
PP0050B01,SITE1,-,40 MVA,115 kV,22 kV,2016-02-04,123900,22000,5.632,118000,22000,5.9241,112100,22000,5.095,,,,,,,,,,,,,2.077,1.663,2.486,,,,,,10865.3,7236.2,3629.0,18291.3,7234.2,11057.1,,,,,,,12.41,12.07,11.77,,,,32,75,,NaN,NaN,458.0112,452.4495,454.9116,,,,7.884,7.882,7.907,,,,,,,,
PP0084B01,CUP-1,-,40000,115,22,2022-08-23,126500,22000,9.95,115000,22000,9.05,103500,22000,8.14,,,,,,,,,,15.183,5.175,14.435,18.104,6.158,18.525,21.861,7.409,20.847,,,9442,5908,3532,15336,5908,9428,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",13.03,12.48,12.14,,,,30,75,1304.6975,1303.5274,1302.3573,1123.4440,1121.4548,1121.4548,1304.6975,1302.3573,1302.3573,14.8607,14.9777,14.8607,,,,,,,,
PP0091B01,SITE5,-,26000,22,11,2006-03-26,24200,11000,3.810,22830,11000,3.595,19800,11000,3.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",10.62,10.31,9.95,,,,33.5,75,208.0233,206.6605,205.5519,138.7207,137.9585,137.2771,208.0233,206.6605,205.5519,15.8088,15.7626,15.7810,,,,,Factory Test,,Factory Test,Factory Test
PP0102B01,CUP-1,-,40000,115,22,2006-10-16,126500,22000,9.95,115000,22000,9.05,103500,22000,8.14,,,,,,,,,,12.2,3.9,12.2,14.6,4.7,14.7,17.7,5.8,17.8,,,9300,5881,3508,15394.2,5881,9512,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",13.13,12.56,12.2,,,,30,75,1303.4104,1302.3573,1300.2510,1121.9931,1119.7932,1118.3657,1304.6975,1302.8253,1301.4212,14.9777,14.9660,14.9543,NaN,NaN,NaN,,,,,
PP0158B01,GENERAL,-,40000,115,22,2008-04-16,120750,22000,9.506,115000,22000,9.037,109250,22000,8.589,-,-,-,-,-,-,-,-,-,15.33,4.36,15.49,16.74,4.79,16.95,18.36,5.28,18.57,,,8985.7,5512.4,3473.3,14921.4,5513.3,9408.1,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",12.39,12.16,11.95,,,,31.5,75,1168.4207,1166.7917,1167.2571,1104.0307,1102.9835,1101.9829,1089.5680,1090.3825,1089.6843,14.9398,15.0212,14.9281,,,,,,,,
PP0174B01,CUP-1,-,55000,115,10.5,2008-06-09,120750,10500,6.64,115000,10500,6.32,109250,10500,6.00,,,,,,,,,,,,,64,47,64,,,,,,11400,7800,3600,21600,7800,14000,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,10.78,,,,,31,75,456.9642,456.9642,456.9642,421.2930,421.2930,421.2930,384.2230,384.2230,384.2230,5.2901,5.2563,5.2644,,,,,,,,
PP0181B01,GENERAL,-,40000,115,22,2018-05-18,120750,22000,9.506,115000,22000,9.054,109250,22000,8.601,-,-,-,-,-,-,-,-,-,13.5,4.6,13.5,14.8,5.1,14.8,16.2,5.6,16.3,,,9077,5588,3496,15243,5588,9662,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",12.38,12.15,11.9,-,-,-,40,75,1134.2696,1133.1421,1134.2696,1070.0018,1068.8743,1068.8743,1056.4718,1055.3443,1056.4718,14.3982,14.2742,14.2404,NaN,NaN,NaN,,,,,
PP0225B01,CUP-1,PT 3W 57 900/118,55000,115,10.5,2022-01-31,120750,10500,6.639,115000,10500,6.323,109250,10500,6.007,-,-,-,-,-,-,-,-,-,-,-,-,56.4,39.9,56.5,-,-,-,,,11362,7755,3610.65,21123,7755,13383,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",11.1,10.79,10.55,,,,33,75,NaN,NaN,NaN,417.6804,415.3664,416.5234,NaN,NaN,NaN,5.2065,5.1834,5.1834,,,,,,,,
PP0284B01,SITE6,,90000,115,11,2018-07-22,126500,11000,6.639,115000,11000,6.036,103500,11000,5.432,126500,11000,6.639,115000,11000,6.036,103500,11000,5.432,,,,,,,,,,,,10096.6,5564.7,4531.9,12665.6,146.5,12519.1,,,,17058.2,15474.1,1584.1,13.53,12.66,12.62,10.01,12.16,15.37,42,75,271.1623,269.8750,275.6397,225.8399,223.6235,222.7840,286.9675,287.1690,287.7958,5.2262,5.2195,5.1580,15.7604,15.8388,15.8388,Lastest Test,Factory Test,,Factory Test,Lastest Test
PP0285B01,SITE6,-,55000,115,11,2018-07-20,126500,11000,6.639,115000,11000,6.036,103500,11000,5.432,,,,,,,,,,,,,,,,,,,,,10311.5,6262,4049.5,17918,6262.1,11655.9,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",13.43,12.77,12.47,,,,28,75,504.0299,502.8049,504.2787,447.5901,443.3455,445.4560,512.5320,511.0228,509.8320,7.1167,7.1156,7.0955,,,,Lastest Test,Factory Test,,Factory Test,Lastest Test
PT3W67000/123,,,,,,2013-05-16,,,,,,,,,,,,,,,,,,,5.472,4.187,5.493,5.9130,4.503,5.931,6.421,4.886,6.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Factory Test,,
PTE 1689/01,SITE3,-,200 MVA,230 kV,121 kV,1998-04-23,252890,121000,2.090,230000,121000,1.901,195500,121000,1.623,,,,,,,,,,17.452,12.384,18.82,20.653,14.2,22.12,28.179,18.966,29.876,,,16580,8296.7,8606.5,,21023.1,,,,,29542,8297.1,21023.1,15.40,15.40,16.40,,,,38,75,570.4772,573.9141,573.9516,529.6800,528.0456,527.9718,575.6530,574.0720,573.9288,235.9333,232.9916,233.4709,NaN,NaN,NaN,,,,,
PTE 1689/02,SITE3,-,200 MVA,230,121,1998-03-02,253000,121000,2.091,230000,121000,1.901,195500,121000,1.616,,,,,,,,,,17.81,12.02,19.05,20.96,14.02,22.36,28.45,19.06,30.21,,,16690,8105.2,8584.8,-,-,-,,,,28848.0,8287.0,20803.8,15.40,15.44,16.42,,,,80,75,588.6405,588.6405,588.6405,541.5512,541.5512,541.5512,588.4436,588.4436,588.4436,240.4161,240.4161,240.4161,40.8501,,,,,,,
PTE 1689/03,SITE3,,200000,230000,121000,2020-11-11,,,2.091,,,1.901,,,1.616,,,,,,,,,,17.37,12.213,18.619,20.527,14.226,21.903,27.975,19.288,29.605,,,16876.4,8274.5,8601.9,28814.4,8273.6,20540.8,,,,,,,15.30,15.29,16.19,,,,35,75,573.4122,572.5222,572.1581,527.5924,527.0860,526.9206,573.4685,572.5784,572.2557,236.5051,235.5128,234.1899,NaN,,,,,,,
PTE 1689/04,SITE3,,200000,230,121,1998-05-01,253000,121000,2.089,230000,121000,1.900,195500,121000,1.619,,,,,,,,,,22.52,16.082,28.294,27.247,19.991,32.435,36.990,28.583,42.437,,,16589,8809.5,8589.4,28964,8801.6,20162.4,,,,,,,15.3,15.25,16.09,,,,80,75,592.5769,592.5769,592.5769,544.7003,544.7003,544.7003,592.5769,592.5769,592.5769,242.5319,242.5319,242.5319,40.6729,NaN,NaN,,,,,
T012006,SITE4,TL - 0747,500000,235,21,2008-11-24,270250,21000,7.430,235000,21000,6.461,199750,21000,5.491,,,,,,,,,,83,73,87,105,96,107,140,129,146,,,23332,14576,8756,51920,14570,37350,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",19.81,18.27,16.97,,,,36,75,117.2782,116.7061,117.5070,99.5434,99.5434,99.8867,82.0375,82.2664,82.1519,2.2197,2.1968,2.2083,,,,,,,,
T012023,SITE4,TL - 0747,500000,235,21,2001-03-26,270250,21000,7.429,235000,21000,6.461,199750,21000,5.491,,,,,,,,,,,,,,,,,,,,,22774,14207,8566,50810,14214,36596,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",19.87,18.26,16.99,,,,19.7,75,122.0467,122.2781,121.7789,103.6862,103.4670,103.6983,85.6178,85.3134,85.2769,1.3515,1.3515,1.3515,,,,,,,,
T013001,SITE4,TM-0853,40000,21,6.75,2008-11-26,22050,6750,5.657,21000,6750,5.388,19950,6750,5.119,,,,,,,,,,,,,,,,,,,,,61900,-,61800,27077,-,26862,,,,64640,-,64550,,10.63,,,7.94,,30,75,NaN,NaN,,44.4650,44.4650,44.2310,,,,3.2881,3.3349,3.3934,10.2972,10.2621,10.3206,,,,,
T013007,SITE4,TM-0853,40000,21,6.75,2009-01-06,22050,6750,5.657,21000,6750,5.388,19950,6750,5.119,,,,,,,,,,,,,,,,,,,,,59371,109,59262,27890,199,27691,,,,66729,85,66644,,10.42,,,8.06,,26,75,,,,45.1478,45.1478,45.0290,,,,3.3029,3.3386,3.3980,10.4315,10.4078,10.4672,,,,,
TP70279703,CHECO-ONE,-,525/700/875,245 kV,23 kV,2010-05-28,274400,23000,6.888,239120,23000,6.002,206780,23000,5.191,,,,,,,,,,2.07,1.31,2.58,3.5,1.9,3.8,5.0,2.6,5.2,,,173721.5,70012,103677,117767.5,70010.1,47753,,,,,,,9.77,12.16,19.90,,,,36,75,78.4070,81.2080,78.5661,68.4870,71.2193,68.6564,77.4356,80.0878,77.6290,1.0698,1.0664,1.0492,,,,,,,,
VN00408,SITE3,,20000,20,6.9,,21000,6900,5.271,20000,6900,5.020,19000,6900,4.769,,,,,,,,,,,,,150.906,60.00,136.641,,,,,,10410,7930,2480,17030,7850,9180,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.68,,,,,33,75,,,,63.6355,63.5198,64.6768,,,,3.4132,3.3669,3.4247,,,,,,,,
VN13700701_1,GHECO-ONE,-,1500,10.5,0.42,2013-05-24,11026,420,45.562,10500,420,43.388,9974,420,41.215,,,,,,,,,,5.391,6.492,6.982,6.882,8.487,8.493,6.404,8.251,8.274,,,1537,1281,256,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.04,,,,,26,75,1036.6171,1038.7557,1038.7557,984.9347,988.0238,986.8357,935.0345,936.9355,936.8167,0.2899,0.2875,0.2887,,,,,,,,
VN13700701_2,GHECO-ONE,-,1000,10.5,0.42,2015-01-02,11026,420,45.470,10500,420,43.301,9974,420,41.132,,,,,,,,,,6.785,8.924,8.973,7.367,9.683,9.734,8.050,10.535,10.590,,,1538,1284,254,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.04,,,,,26,75,NaN,NaN,NaN,975.6676,974.7171,973.5290,NaN,NaN,NaN,0.2994,0.2946,0.2851,,,,Oldest Test,Factory Test,Oldest Test,Factory Test,Oldest Test
