Serial_No,Site,Model_Type,Power_Rated,HV_Rated,LV_Rated,Test_Date,TurnRatio_HL1_Tap_Max_HV,TurnRatio_HL1_Tap_Max_LV,TurnRatio_HL1_Tap_Max_Ratio,TurnRatio_HL1_Tap_Cen_HV,TurnRatio_HL1_Tap_Cen_LV,TurnRatio_HL1_Tap_Cen_Ratio,TurnRatio_HL1_Tap_Min_HV,TurnRatio_HL1_Tap_Min_LV,TurnRatio_HL1_Tap_Min_Ratio,TurnRatio_HL2_Tap_Max_HV,TurnRatio_HL2_Tap_Max_LV,TurnRatio_HL2_Tap_Max_Ratio,TurnRatio_HL2_Tap_Cen_HV,TurnRatio_HL2_Tap_Cen_LV,TurnRatio_HL2_Tap_Cen_Ratio,TurnRatio_HL2_Tap_Min_HV,TurnRatio_HL2_Tap_Min_LV,TurnRatio_HL2_Tap_Min_Ratio,Iexc_Max_A,Iexc_Max_B,Iexc_Max_C,Iexc_Cen_A,Iexc_Cen_B,Iexc_Cen_C,Iexc_Min_A,Iexc_Min_B,Iexc_Min_C,PF_C_Main_Tank,PF_C_OLTC,PF_C_Winding_HLHG,PF_C_Winding_HL,PF_C_Winding_HG,PF_C_Winding_LHLG,PF_C_Winding_LH,PF_C_Winding_LG,PF_C_Winding_LTLG,PF_C_Winding_LT,PF_C_Winding_L,PF_C_Winding_TGTH,PF_C_Winding_TH,PF_C_Winding_TG,ShortZ_X_Max,ShortZ_X_Cen,ShortZ_X_Min,ShortZ_Y_Max,ShortZ_Y_Cen,ShortZ_Y_Min,WindResist_Winding_Temp,WindResist_Corrected_Temp,WindResist_A_Tap_Max,WindResist_B_Tap_Max,WindResist_C_Tap_Max,WindResist_A_Tap_Cen,WindResist_B_Tap_Cen,WindResist_C_Tap_Cen,WindResist_A_Tap_Min,WindResist_B_Tap_Min,WindResist_C_Tap_Min,WindResist_LV_A,WindResist_LV_B,WindResist_LV_C,WindResist_TV_A,WindResist_TV_B,WindResist_TV_C,PF_Result,TR_Result,Exci_Result,Short_Result,WR_Result
3710737,SITE2,DKLH,315,22,0.4,2012-06-14,23100,400,100.023,22000,400,95.26,20900,400,90.499,,,,,,,,,,15.32,5.408,15.234,,,,,,,,,2662,1212,1450,5484.3,1195.7,4288.6,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",3.325,5.78,,,,,50,75,2582.6116,2571.7329,2542.3603,,,,,,,2.3389,2.3531,2.4303,,,,,,,,
3710738,SITE2,DKLH,315,22,0.4,2012-07-11,23100,400,100.023,22000,400,95.26,20900,400,90.497,,,,,,,,,,16.472,7.273,15.91,,,,,,,,,2714,1226,1488,5468.4,1213,4255.1,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",3.284,5.77,,,,,48,75,2300.7080,2322.6195,2382.8761,,,,,,,2.2503,2.2733,2.3708,,,,,,,,
383204884,SITE2,5344501101,4500,11,6.9,2017-08-01,11550,6900,2.899,11000,6900,2.761,10450,6900,2.623,,,,,,,,,,,,,,,,,,,,,5839.1,4123.5,1715.6,9161.6,4117.7,5043.9,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,3.72,,,,,38,75,,,,,,,,,,26.1684,26.0434,26.2252,,,,,,,,
383204886,SITE2,5344501101,4500,11,6.9,2017-10-10,11550,6900,2.899,11000,6900,2.76,10450,6900,2.623,,,,,,,,,,,,,,,,,,,,,5679.5,3936.7,1742.8,8886.5,3937.3,4949.2,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.82,,,,,35,75,,,,,,,,,,29.3307,29.5949,29.4571,,,,,,,,
3902641,SITE2,DTTH2500/10,2500,66,0.4,2015-07-27,6930,400,30.007,6600,400,28.578,6270,400,27.149,,,,,,,,,,26.071,22.054,34.826,28.158,23.788,37.412,31.116,26.846,41.433,,,1324,1046,277,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.09,,,,,31,75,138.3716,139.0710,136.6230,132.1932,132.4264,130.5612,126.0149,126.3646,125.0823,0.1912,0.1958,0.2028,,,,Oldest Test,Factory Test,Oldest Test,Factory Test,Oldest Test
3902642,SITE2,DTTH2500/10,2500,66,0.4,,6930,400,30.007,6600,400,28.578,6270,400,27.149,,,,,,,,,,29.14,23.982,27.637,32.148,25.821,29.667,34.915,28.813,32.315,,,1314,1033,280,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,,,,,,31,75,140.7030,140.1202,140.0036,132.1932,132.6595,131.8435,126.1315,126.5977,125.4320,179.5217,186.5160,184.1846,,,,Oldest Test,,Oldest Test,,Oldest Test
3905095,SITE2,5144002206,4000,22,6.6,2017-03-03,23100,6600,6.062,22000,6600,5.773,20900,6600,5.485,,,,,,,,,,,,,,,,,,,,,4928,3750.1,1177.9,7778.4,3749.5,4028.9,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.69,,,,,36,75,,,,,,,,,,39.4627,39.3025,39.3483,,,,Oldest Test,,Factory Test,,
3911888,SITE3,-,500,22000,400,2018-06-20,,-,-,22000,400,95.2628,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.714,4.812,13.196,-,-,-,,,2680,1329.1,1349.8,4945.7,1327.5,3618.1,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,5.79,-,-,-,-,30,75,NaN,NaN,NaN,4811.5841,4816.2647,4805.7335,NaN,NaN,NaN,1.2081,1.2123,1.2357,NaN,NaN,NaN,,,,,
4010290,SITE3,LH.26,500,22,0.4,,,,,22000,400,95.2628,,,,,,,,,,,,,,,,8.254,2.822,7.624,,,,,,2663.4,1837.7,824.9,4745.4,1837.6,2907.7,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.9,,,,,31,75,,,,9520.4765,9521.6422,9526.3051,,,,1.5854,1.5842,1.6087,,,,,,,,
4010291,SITE3,LH26,500,22,0.4,,23100,400,100.023,22000,400,95.263,20900,400,90.497,,,,,,,,,,,,,8.236,3,7.651,,,,,,2679.2,1857.1,821,4585.1,1857.2,2728,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.9,,,,,36,75,,,,9.4086,9.4097,9.4177,,,,1.5492,1.5607,1.5549,,,,Oldest Test,Factory Test,Oldest Test,Oldest Test,Oldest Test
