serial,date,test_NO,test_voltage,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_PI,test_voltage2,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_PI,test_voltage3,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_PI,comment,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,ambient_temp,oil_temp,winding_temp,humidity,coregnd,framegnd,coreframe
5101711,2025-01-31 00:00:00,,2500,3410,,,,,,,,,6540,1.9179,1000,3330,,,,,,,,,8020,2.4084,-,-,,,,,,,,,-,-,,Mr.Polasart T.,Mr.Pornpong S.,Hitachi Energy,GPSC,,,0000-00-00,,,,,1000,1000,1000
PP0225B01,2025-01-21 00:00:00,,5000,10810,11920,13300,14420,15440,16380,17250,18030,18800,19580,1.8113,2500,8040,9050,11270,12260,13100,13830,14490,15270,15600,10130,1.2600,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,30,34,34,56,1000,1000,1000
PP0050B01,2024-09-24 00:00:00,,2500,8400,9000,9760,10300,10700,11030,11360,11600,11880,12070,1.4369,2500,2460,3070,3480,3780,4030,4240,4410,4580,4720,4840,1.9675,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,Megger S1-1068,,2023-07-18,32,34,34,56,1000,1000,1000
4710348,2024-09-18 00:00:00,,5000,4570,5570,6310,7000,7540,8060,8470,8890,9240,9550,2.0897,2500,2370,2950,3410,3840,4250,4610,4950,5320,5570,5840,2.4641,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,Megger S1-1068,-,0000-00-00,35,36,36,65,1000,1000,1000
383204884,2024-09-17 00:00:00,,2500,957,1188,1315,1399,1459,1518,1542,1572,1597,1618,1.6907,2500,800,877,912,939,953,966,977,989,995,1002,1.2525,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,Megger S1-1068,,0000-00-00,-,-,-,-,1000,1000,1000
6110202,2024-08-19 00:00:00,,2500,5900,7320,8390,9240,9960,10570,11100,11550,11960,12300,2.0847,2500,4060,5850,7290,8420,9350,10150,10880,11570,12190,12760,3.1429,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-01-15,36,38,38,63,1000,1000,1000
9624007,2024-08-17 00:00:00,,5000,11.51,,,,,,,,,14.37,1.2485,5000,6.75,,,,,,,,,9.57,1.4178,,,,,,,,,,,,,3 Year PM Transformer,Mr. Polasart T.,,HITACHI,,MEGGER MIT 515,1800333,0000-00-00,40,44,44,38,6730,1000,1000
9640548,2024-08-15 00:00:00,,-,-,,,,,,,,,-,-,2500,1270,1980,2480,2880,3200,3470,3700,3910,4100,4270,3.3622,2500,1460,2450,3170,3780,4200,4640,4990,5300,5560,5670,3.8836,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,Megger S1-1068,-,2024-01-15,35,40,40,61,1000,1000,1000
ET8712_2,2024-08-11 00:00:00,,5000,590,,,,,,,,,1465,2.4831,2500,507,,,,,,,,,1203,2.3728,-,-,,,,,,,,,-,-,,Polasart T.,Mr.Jirasak S.,Hitachi Energy,GPSC,Megger S1-1068,,0000-00-00,31,35,35,50,472,532,545
5011857,2024-08-01 00:00:00,30000039495,-,-,-,-,-,-,-,-,-,-,-,-,2500,1.514,1.968,2.228,2.54,2.76,2.96,3.15,3.33,3.48,3.62,2.3910,,-,-,-,-,-,-,-,-,-,-,-,High voltage winding cannot test because PT cannot disconnect internal grounding,Mr. Methee Meechitti,,GPSC,,MEGGER,101716389,2024-01-05,38,38,38,70,1000,1000,1000
4912020,2024-07-13 00:00:00,,5000,3620,4420,4950,5330,5650,5890,6100,6310,6470,6590,1.8204,5000,2720,3610,4200,4650,5020,5320,5590,5820,6000,6210,2.2831,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,101716389,2021-08-31,,44,44,,1713,1000,1581
PP0174B01,2024-07-04 00:00:00,,5000,2900,3680,4420,4980,5520,6000,6360,7030,7390,7710,2.6586,2500,2870,3980,4710,5330,5810,6310,6720,7240,7530,7960,2.7735,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,Megger S1-1068,101716389,2024-01-15,32,30,30,67,1000,1000,1000
PTE 1689/01,2024-06-20 00:00:00,,5000,2980,3320,3520,3700,3810,3920,4000,40500,4100,4150,1.3926,-,,,,,,,,,,,,2500,2910,3760,4400,4950,5440,5810,6170,6480,6730,6950,2.3883,,Mr. Jirasak S,,GPSC,,Megger S1-1068,,0000-00-00,31,32,32,70,1000,1000,1000
667001,2024-05-09 00:00:00,,5000,4400,5600,6400,7000,7500,8200,8800,9100,9600,9800,2.2273,5000,1800,2300,2600,2800,3000,3200,3500,3600,3600,3700,2.0556,,,,,,,,,,,,,,Krittima,Mr.Jirasak S.,"Fuji Tusco Co.,Ltd.",GPSC,Megger BM5200,101738496,0000-00-00,34.6,31,31,64,1000,1000,1000
667001,2024-05-09 00:00:00,,5000,,,,,,,,,,,,2500,1800,2300,2600,2800,3000,3200,3500,3600,3650,3700,2.0556,2500,4400,5600,6400,7000,7500,8200,8800,9100,9600,9800,2.2273,,,,,,,,0000-00-00,,,,,1000,1000,1000
4912019,2024-03-04 00:00:00,,5000,2400,3030,3450,3740,3960,4150,4300,4450,4550,4640,1.9333,2500,1470,2100,2510,2870,3180,3430,3700,3870,4050,4180,2.8435,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,Megger S1-1068,,0000-00-00,30,33,33,60,1000,1000,1000
4912019,2024-02-22 00:00:00,,5000,1736,2140,2350,2510,2670,2790,2880,2960,3040,3080,1.7742,2500,1770,2140,2420,2500,2670,2870,2990,3120,3230,3320,1.8757,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2023-12-25,37,33,33,54,1000,1000,1000
5513260,2024-02-12 00:00:00,,2500,4560,4940,5060,5120,5200,5250,5300,5320,5350,5385,1.1809,500,7830,8830,9580,10120,10460,11080,11580,11690,11750,11800,1.5070,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,,,0000-00-00,35,35,35,56,1000,1000,1000
512033,2024-02-08 00:00:00,,5000,8200,9130,10010,10600,11180,11620,11990,12390,12820,13120,1.6000,2500,4960,5500,6270,6710,7160,7790,8080,8320,8680,9150,1.8448,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,Megger S1-1068,,0000-00-00,,,,,1000,1000,1000
ET8713/1,2024-02-04 00:00:00,,2500,4250,5010,5620,5700,6000,6320,6600,6790,7010,7120,1.6753,2500,6650,9100,9810,10280,10710,11000,11220,11480,11610,11850,1.7820,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchat M.,Hitachi Energy,GPSC,Megger S1-1068,,0000-00-00,34,48,48,57,1000,1000,1000
PP0016B01,2024-01-09 00:00:00,30000024126,2500,9010,10900,11840,12670,13230,14110,14560,14730,15250,15570,1.7281,2500,8060,9400,10150,10800,11340,11970,12300,12750,13080,13390,1.6613,-,-,,,,,,,,,-,-,No core ground measurement.,Mr.Jirasak S.,,GPSC,,Megger S1-1068,,2024-01-05,31,32,32,61,1000,1000,1000
508038,2023-12-24 00:00:00,,5000,4600,5420,6170,6570,7030,7410,7810,8170,8500,8780,1.9087,2500,3390,4330,5140,5840,6450,7000,7480,7930,8340,8720,2.5723,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,0000-00-00,,,,,1000,1000,1000
ET8713/1,2023-11-11 00:00:00,,5000,554,785,890,950,996,1045,1080,1110,1137,1160,2.0939,5000,740,1130,1365,1478,1611,1668,1732,1800,1852,1894,2.5595,-,-,,,,,,,,,-,-,,Mr.Methee M.,Mr.Pimchart P.,GPSC,GPSC,Megger S1-1068,,0000-00-00,,,,,1000,1000,1000
PP0084B01,2023-11-01 00:00:00,,5000,5300,6420,7760,8900,9950,10990,11880,13200,13680,14220,2.6830,5000,3300,5130,6120,7400,8990,10250,11130,11930,12740,12840,3.8909,-,-,,,,,,,,,-,-,,Mr.Jirasak Suksakun,Mr.Sittipong K.,GPSC,GPSC,Megger S1-1068,,0000-00-00,,,,,1000,1000,1000
ET8712/1,2023-10-27 00:00:00,,5000,782,-,-,-,-,-,-,-,-,1841,2.3542,2500,612,-,-,-,-,-,-,-,-,1652,2.6993,,,,,,,,,,,,,,Mr.Prawit N.,-,Hitachi,GPSC,,,0000-00-00,,,,,1000,1000,1000
4912021,2023-10-25 00:00:00,,5000,8910,11110,12230,13350,14060,14780,15330,15970,16450,16900,1.8967,2500,6540,8110,9030,9740,10450,11180,11740,12280,12740,13060,1.9969,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Methee M.,,GPSC,,Megger S1-1068,-,0000-00-00,,,,,6400,7620,1000
