serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,hl_test_voltage,chl_ch_cap,chl_ch_pf_1,chl_ch_pf_2,chl_ch_pf_ma,chl_ch_pf_p,chl_cap,chl_pf_1,chl_pf_2,chl_pf_ma,chl_pf_p,ch_cap,ch_pf_1,ch_pf_2,ch_pf_ma,ch_pf_p,lh_test_voltage,clh_cl_cap,clh_cl_pf_1,clh_cl_pf_2,clh_cl_pf_ma,clh_cl_pf_p,clh_cap,clh_pf_1,clh_pf_2,clh_pf_ma,clh_pf_p,cl_cap,cl_pf_1,cl_pf_2,cl_pf_ma,cl_pf_p,th_test_voltage,ct_cth_cap,ct_cth_pf_1,ct_cth_pf_2,ct_cth_pf_ma,ct_cth_pf_p,cth_cap,cth_pf_1,cth_pf_2,cth_pf_ma,cth_pf_p,ct_cap,ct_pf_1,ct_pf_2,ct_pf_ma,ct_pf_p,oil_maintank_cap,oil_maintank_pf,oil_oltc_cap,oil_oltc_pf,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxhv_tand,maxchv_change,maxlv_tand,maxclv_change,maxtv_tand,maxctv_change,maxoil_maintank_tand,maxoil_oltc_tand,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9
PP0225B01,2025-01-21 00:00:00,,30,34,34,56,10,11371.1,0.20,0.146,35.73,715.22,7763.2,0.213,0.156,24.39,521.14,3607.8,0.171,0.124,11.34,193.73,6,21136.4,0.221,0.161,66.41,1467.63,7763,0.213,0.155,24.39,519.24,13372.9,0.226,0.165,42.02,951.07,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09 00:00:00,,0.156,0.11,0.165,0.1,,,,,0.08,0.08,0.11,0.06,0.08,0.10,,,
PP0050B01,2024-09-24 00:00:00,,32,38,38,56,2,-,0.192,0.129,70.7,272.4,7247.4,0.216,0.145,4.55,19.75,-,0.191,0.128,66.14,253.54,5,18324.3,0.236,0.158,28.79,340.12,7250.6,0.220,0.147,11.39,125.47,11073.6,0.252,0.169,17.4,219.73,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,CE133V,2023-07-18 00:00:00,,0.145,0.15,0.169,0.23,,,,,-,-,0.15,0.18,0.15,0.23,,,
4710348,2024-09-18 00:00:00,,32,37,37,55,10,10249.8,0.201,0.134,32.21,648.77,7514.5,0.148,0.099,23.61,349.96,2735.4,0.347,0.232,8.6,298.81,2,20017.4,0.242,0.162,62.9,1524.94,7511,0.146,0.098,23.6,346.48,12499.9,0.301,0.201,39.28,1183.39,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,0.232,0.94,0.201,3.67,,,,,0.82,0.94,0.78,3.67,0.11,0.75,,,
383204884,2024-09-17 00:00:00,,31,41,41,56,6,5832.5,0.357,0.225,11,235.97,4116.5,0.346,0.218,7.76,161.39,1714.2,0.379,0.239,3.24,73.63,3,9152.2,0.378,0.238,8.63,97.89,4115.7,0.343,0.216,3.88,40.01,5031.9,0.408,0.257,4.74,58.2,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,0.239,0.17,0.257,0.24,,,,,0.11,0.08,0.17,0.10,0.24,0.05,,,
4711343,2024-09-16 00:00:00,,33,33,33,64,6,4980.5,0.2941,0.2185,9.39,164.21,3681.5,0.2344,0.1758,6.94,97.57,1298.2,0.4526,0.3395,2.45,66.61,4,8109.8,0.2941,0.2206,10.19,119.93,3680.6,0.2313,0.1734,4.63,42.78,4427.1,0.3488,0.2616,5.57,77.67,,,,,,,,,,,,,,,,,,,,,Mr. Polasart T.,,HITACHI,,TESTRANO 600,CH158W,,6 Year PM Transformer,0.3395,3.13,0.2616,0.55,,,,,0.46,3.13,0.49,0.55,0.55,0.49,,,
6110202,2024-08-19 00:00:00,,36,38,38,63,10,10951.5,0.181,0.116,34.41,624.2,7650.7,0.114,0.09,24.04,346.93,3300.6,0.265,0.169,10.38,275.18,10,18331.3,0.260,0.166,57.6,1501.1,7650.5,0.144,0.09,24.03,347.43,10680.3,0.345,0.221,33.56,1158.68,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-01-15 00:00:00,,0.169,0.02,0.221,0.01,,,,,0.00,0.02,0.01,0.00,0.00,0.01,,,
9640548,2024-08-15 00:00:00,,40,40,40,50,2,151338.1,0.0887,0.0568,475.94,4217.94,7159.0,0.1984,0.127,22.50,446.52,144175.7,0.0833,0.0533,452.95,3771.42,2.5,11559.1,0.4219,0.2700,36.32,1532.59,,,,,,,,,,,2.5,19057,0.3291,0.2106,59.88,1970.75,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2025-05-01 00:00:00,3 Year PM Transformer,0.127,0.2,0.27,39.79,0.2106,0.29,,,0.00,0.00,0.20,39.79,-,,0.29,,
ET8712_2,2024-08-11 00:00:00,,39,34,34,43,10,17919,0.299,0.218,56.3,1686.73,14025.3,0.299,0.218,44.06,1319.82,3893.2,0.303,0.221,12.24,371.78,6,28695,0.3196,0.233,54.1,1037.19,14024.2,0.2999,0.218,26.43,475.66,14670.3,0.3415,0.249,27.66,566.72,,,,,,,,,,,,,,,,,,,,,Polasart T.,Jirasak Suksakun,Hitachi Energy,GPSC,TESTRANO 600,,,,0.221,1.18,0.249,0.14,,,,,0.15,1.18,0.14,0.02,0.07,0.14,,,
5011857,2024-08-01 00:00:00,30000039495,38,38,38,70,2,107575,0.2146,0.1438,337.97,7252.86,25799,0.2410,0.1615,81.05,1953,81778,0.2261,0.1515,256.92,5809,2,42511,0.1946,0.1304,133.52,2598,25804,0.1553,0.1041,81.07,1259,16706,0.2632,0.1764,52.50,1381,,,,,,,,,,,,,,,,,,,,,Mr. Methee Meechitti,,GPSC,,TESTRANO 600,DA193X,2023-12-04 00:00:00,,0.1615,0.17,0.1764,1.31,,,,,0.08,0.07,0.17,0.67,1.31,0.12,,,
4912020,2024-07-14 00:00:00,,32,42,42,57,10,9461.8,0.245,0.149,29.73,729.58,6720.8,0.165,0.101,21.11,349.11,2741.1,0.453,0.276,8.62,390.48,6,18285.4,0.291,0.177,34.57,604.03,6720.6,0.189,0.115,12.67,143.91,11614.4,0.311,0.189,21.9,408.59,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,,GPSC,,TESTRANO 600,DA193X,2021-08-27 00:00:00,,0.276,0.7,0.189,6.74,,,,,0.07,0.70,0.29,4.57,6.74,0.20,,,
