serial,date,H1_tap_max_ratio,H1_max_err,H1_max_phd,H1_tap_cen_ratio,H1_cen_err,H1_cen_phd,H1_tap_min_ratio,H1_min_err,H1_min_phd,H1_tap_N1,H1_tap_rate_N1,H1_ratio1,H1_err1,H1_phd1,H1_tap_N2,H1_tap_rate_N2,H1_ratio2,H1_err2,H1_phd2,H2_tap_max_ratio,H2_max_err,H2_max_phd,H2_tap_cen_ratio,H2_cen_err,H2_cen_phd,H2_tap_min_ratio,H2_min_err,H2_min_phd,H2_ratio1,H2_err1,H2_phd1,H2_ratio2,H2_err2,H2_phd2,H3_tap_max_ratio,H3_max_err,H3_max_phd,H3_tap_cen_ratio,H3_cen_err,H3_cen_phd,H3_tap_min_ratio,H3_min_err,H3_min_phd,H3_ratio1,H3_err1,H3_phd1,H3_ratio2,H3_err2,H3_phd2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR,MAXDEV,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9,Object10,Object11,Object12,Object13,Object14,Object15,Object16,Object17,Object18,Object19,Object20,Object21,Object22,Object23,Object24,Object25,Object26,Object27,Object28,Object29,Object30
1LKR091730,1/24/2017,-,-,-,-,-,-,-,-,-,5-Mar,29.168,29.17,0.01,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.17,0.01,0.01,-,,-,-,-,-,-,-,-,-,-,-,29.174,0.02,0.01,-,-,-,-,Mr.Chaiyasit Junchay,Mr Teerasak Wanthong,TIS,GLOW,Raytech/Spymark III,314151,3/5/2016,26,-,-,35,,0.02,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0,0.01,0.01,0.02,0.01,-,-,,-,-,-
1LKR091730,11/27/2019,,,,,,,,,,5-Mar,29.1686,29.1746,0.02,0.03,,,,,,,,,,,,,,,29.1832,0.05,0.07,,,,,,,,,,,,,29.1614,0.02,0.05,,,,191057171,Mr. Jirasak S.,,CMT-GLOW,GLOW,TESTRANO 600,DA193X,2/16/2018,26,-,26,51,,0.05,0.07,,,,,,,,,,,,,,,,,,,0.02,0.03,0.05,0.07,0.02,0.05,,,,,,
20083122TIC003,1/24/2010,3.6479,0.11,0.1,3.3175,0.08,0.04,2.9871,0.36,0.03,,,,,,,,,,,3.6443,0.21,0.05,3.3163,0.11,0.02,2.9863,0.39,0.08,,,,,,,3.6463,0.16,0.04,3.3171,0.09,0.01,2.9887,0.31,0.05,,,,,,,,D. W. Son,,HYUDAI,,,,,,,,,,0.39,0.1,0.11,0.1,0.21,0.05,0.16,0.04,0.08,0.04,0.11,0.02,0.09,0.01,0.36,0.03,0.39,0.08,0.31,0.05,,,,,,,,,,,,
20083122TIC003,11/26/2019,3.67,0.49,0.54,3.32,0,0.3,2.99,0.07,0,,,,,,,,,,,3.65,0.05,0.55,3.31,0.3,0.3,2.99,0.07,0,,,,,,,3.67,0.49,0,3.32,0,0,2.99,0.07,0,,,,,,,191050218,Mr.Methee.M,,CMT-ENGIE GLOW,GLOW,TESTRANO 600,DA193X,2/16/2018,33,34,34,44,Inject voltage to HN bushing with ground,0.49,0.55,0.49,0.54,0.05,0.55,0.49,0,0,0.3,0.3,0.3,0,0,0.07,0,0.07,0,0.07,0,,,,,,,,,,,,
20083122TIC003,8/18/2021,3.649,0.08,0.03,3.319,0.03,0.09,2.982,0.2,0.37,-,-,-,-,-,-,-,-,-,-,3.648,0.11,0,3.316,0.12,0.03,2.993,0.17,0,-,-,-,-,-,-,3.648,0.11,0.03,3.317,0.09,0.06,2.993,0.17,0.37,-,-,-,-,-,-,211033257,Mr.Thanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,DA193X,2/16/2021,30,30,30,72,Inject from HV Neutral,0.2,0.37,0.08,0.03,0.11,0,0.11,0.03,0.03,0.09,0.12,0.03,0.09,0.06,0.2,0.37,0.17,0,0.17,0.37,-,-,-,-,-,-,-,-,-,-,-,-
20083122TIC003,12/19/2022,3.645,0.19,0.03,3.316,0.12,0.03,2.986,0.07,0.03,,,-,,,,,-,,,3.646,0.16,0.05,3.317,0.09,0.06,2.987,0.03,0.03,-,,,-,,,3.644,0.22,0.03,3.315,0.15,0.03,2.986,0.07,0,-,,,-,,,,Mr.Worapon J.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,DA193X,8/27/2021,31,34,34,66,,0.22,0.06,0.19,0.03,0.16,0.05,0.22,0.03,0.12,0.03,0.09,0.06,0.15,0.03,0.07,0.03,0.03,0.03,0.07,0,,,,,,,,,,,,
20083122TIC003,6/12/2023,3.645,0.19,0,3.316,0.12,0,2.98,0.27,0,-,-,-,-,-,-,-,-,-,-,3.645,0.19,0,3.316,0.12,0,2.98,0.27,0,-,-,-,-,-,-,3.645,0.19,0,3.316,0.12,0,2.98,0.27,0,-,-,-,-,-,-,30000002044,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,CA635A,3/9/2023,30,38,38,68,,0.27,0,0.19,0,0.19,0,0.19,0,0.12,0,0.12,0,0.12,0,0.27,0,0.27,0,0.27,0,-,-,-,-,-,-,-,-,-,-,-,-
20083122TIC003,2/11/2025,3.6544,0.07,0.24,3.3089,0.33,0.03,2.9808,0.24,0.02,,,,,,,,,,,3.6631,0.3,0.36,3.31,0.3,0.2,2.9813,0.22,0.29,,,,,,,3.65,0.05,0.12,3.3165,0.11,0.23,2.99,0.07,0.31,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,10/9/2024,29,30,30,74,,0.33,0.36,0.07,0.24,0.3,0.36,0.05,0.12,0.33,0.03,0.3,0.2,0.11,0.23,0.24,0.02,0.22,0.29,0.07,0.31,,,,,,,,,,,,
20083122TIC003,2/12/2025,3.6544,0.07,0.24,3.3089,0.33,0.03,2.9808,0.24,0.02,,,,,,,,,,,3.6631,0.3,0.36,3.31,0.3,0.2,2.9813,0.22,0.29,,,,,,,3.65,0.05,0.12,3.3165,0.11,0.23,2.99,0.07,0.31,,,,,,,,Jirasak S.,,GPSC,,TESTRANO 600,DA193X,10/9/2024,30,30,30,74,,0.33,0.36,0.07,0.24,0.3,0.36,0.05,0.12,0.33,0.03,0.3,0.2,0.11,0.23,0.24,0.02,0.22,0.29,0.07,0.31,,,,,,,,,,,,
20083122TIC008,1/25/2010,4.6395,0.05,0.01,4.2167,0.03,0,3.7951,0.03,0.02,,,,,,,,,,,4.6391,0.04,0.03,4.2167,0.03,0.03,3.7944,0.01,0.03,,,,,,,4.6405,0.07,0.02,4.2179,0.05,0.03,3.7956,0.04,0.01,,,,,,,,J. S. Jeong,,HYUNDAI,,,,,,,,,,0.07,0.03,0.05,0.01,0.04,0.03,0.07,0.02,0.03,0,0.03,0.03,0.05,0.03,0.03,0.02,0.01,0.03,0.04,0.01,,,,,,,,,,,,
