Serial_No,Date,Test_No,Name1,Name2,COMP1,COMP2,Test_Instrument,Instrument_Serial_No,Calibration_Date,Ambient_Temp,Oil_Temp,Winding_Temp,Humidity,A_O2,A_N2,A_CO2,A_CO,A_H2,A_CH4,A_C2H2,A_C2H4,A_C2H6,A_C3H6,A_C3H8,A_BD,A_WC,A_PF_25,A_PF_100,A_Test_Result,B_O2,B_N2,B_CO2,B_CO,B_H2,B_CH4,B_C2H2,B_C2H4,B_C2H6,B_C3H6,B_C3H8,B_BD,B_WC,B_PF_25,B_PF_100,B_Test_Result,C_O2,C_N2,C_CO2,C_CO,C_H2,C_CH4,C_C2H2,C_C2H4,C_C2H6,C_C3H6,C_C3H8,C_BD,C_WC,C_PF_25,C_PF_100,C_Test_Result
EDP011601,2025-09-18 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,64,,,16415,103669,91,14,161,37,0,2,1,0,0,93.4,4.8,0.0,0.061,NORMAL,16415,103669,91,14,161,37,0,2,1,0,0,93.4,4.8,0.0,0.061,NORMAL,16415,103669,91,14,161,37,0,2,1,0,0,93.4,4.8,0.0,0.061,NORMAL
PTE 1689/02,2025-09-16 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,50,,,11704,76926,930,218,11704,807,6341,843,29,163,5,77.4,21.3,0.008,0.676,NORMAL,14912,85615,1176,233,8221,676,5678,676,25,120,5,68.6,20.6,0.022,1.373,NORMAL,14879,94678,1171,250,8519,740,6066,797,28,158,5,70.6,22.8,0.014,0.523,NORMAL
PTE 1689/01,2025-09-15 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,48,,,10471,96501,1213,318,10393,807,5982,786,29,149,5,66.7,23.3,0.013,0.967,NORMAL,10471,96501,1213,318,10393,807,5982,786,29,149,5,66.7,23.3,0.013,0.967,NORMAL,10471,96501,1213,318,10393,807,5982,786,29,149,5,66.7,23.3,0.013,0.967,NORMAL
PTE 1689/03,2025-09-15 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,46,,,18996,106229,757,197,4442,316,2702,322,11,69,2,65.3,19.2,0.010,0.935,NORMAL,18996,106229,757,197,4442,316,2702,322,11,69,2,65.3,19.2,0.010,0.935,NORMAL,18996,106229,757,197,4442,316,2702,322,11,69,2,65.3,19.2,0.010,0.935,NORMAL
PTE 1689/04,2025-09-15 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,50,,,20778,100011,365,38,1311,56,725,55,1,10,0,77.3,24.1,0.006,0.131,NORMAL,20778,100011,365,38,1311,56,725,55,1,10,0,77.3,24.1,0.006,0.131,NORMAL,20778,100011,365,38,1311,56,725,55,1,10,0,77.3,24.1,0.006,0.131,NORMAL
54002,2025-08-10 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,,,,,48,,,25125,66323,696,50,26,3,11,2,0,3,0,79.6,16.6,0.004,0.280,NORMAL,25125,66323,696,50,26,3,11,2,0,3,0,79.6,16.6,0.004,0.280,NORMAL,25125,66323,696,50,26,3,11,2,0,3,0,79.6,16.6,0.004,0.280,NORMAL
6110201,2025-05-28 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,,,,64,,,30686,89944,1867,297,44,12,2,6,0,0,0,86.3,15.6,0.061,1.726,NORMAL,30686,89944,1867,297,44,12,2,6,0,0,0,86.3,15.6,0.061,1.726,NORMAL,30686,89944,1867,297,44,12,2,6,0,0,0,86.3,15.6,0.061,1.726,NORMAL
6110202,2025-05-28 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,6M,,,60,,,27235,81587,1496,286,2117,128,1308,183,24,2,10,96.1,12.3,0.038,0.888,NORMAL,27235,81587,1496,286,2117,128,1308,183,24,2,10,96.1,12.3,0.038,0.888,NORMAL,27235,81587,1496,286,2117,128,1308,183,24,2,10,96.1,12.3,0.038,0.888,NORMAL
PP0158B01,2025-05-28 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,,,,53,,,20657,88928,413,103,1114,123,79,381,131,36,1,89.3,5.9,0.003,0.615,NORMAL,20657,88928,413,103,1114,123,79,381,131,36,1,89.3,5.9,0.003,0.615,NORMAL,20657,88928,413,103,1114,123,79,381,131,36,1,89.3,5.9,0.003,0.615,NORMAL
PP0181B01,2025-05-28 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,,,,,53,,,20657,88928,413,103,1114,123,79,381,131,36,1,89.3,5.3,0.003,0.615,NORMAL,20657,88928,413,103,1114,123,79,381,131,36,1,89.3,5.3,0.003,0.615,NORMAL,20657,88928,413,103,1114,123,79,381,131,36,1,89.3,5.3,0.003,0.615,NORMAL
PP0181B01,2025-05-28 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,,,,49,,,28673,82000,530,35,65,9,2,7,1,0,0,93.1,4.3,0,0.610,NORMAL,28673,82000,530,35,65,9,2,7,1,0,0,93.1,4.3,0,0.610,NORMAL,28673,82000,530,35,65,9,2,7,1,0,0,93.1,4.3,0,0.610,NORMAL
T012006,2025-05-24 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,6M,,,58,,,19721,71858,1159,251,3293,542,1962,867,93,169,67,50.6,19.5,0.019,0.764,NORMAL,12766,70581,1429,367,4890,855,2793,1188,58,176,75,58.4,21.5,0.019,0.718,NORMAL,7180,70348,1565,448,6374,1290,3941,1586,82,153,86,72.9,34.0,0.048,0.831,NORMAL
PP0084B01,2025-05-19 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,6M,,,53,,,22826,66768,265,26,186,25,5,31,4,1,1,72.4,4.3,0.001,0.234,NORMAL,22826,66768,265,26,186,25,5,31,4,1,1,72.4,4.3,0.001,0.234,NORMAL,22826,66768,265,26,186,25,5,31,4,1,1,72.4,4.3,0.001,0.234,NORMAL
PP0102B01,2025-05-19 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,6M,,,55,,,26066,82500,264,51,177,31,26,63,51,26,0,98.3,4.4,0.003,0.419,NORMAL,26066,82500,264,51,177,31,26,63,51,26,0,98.3,4.4,0.003,0.419,NORMAL,26066,82500,264,51,177,31,26,63,51,26,0,98.3,4.4,0.003,0.419,NORMAL
