Serial_No,Date,Test_No,Name1,Name2,COMP1,COMP2,Test_Instrument,Instrument_Serial_No,Calibration_Date,Ambient_Temp,Oil_Temp,Winding_Temp,Humidity,A_O2,A_N2,A_CO2,A_CO,A_H2,A_CH4,A_C2H2,A_C2H4,A_C2H6,A_C3H6,A_C3H8,A_BD,A_WC,A_PF_25,A_PF_100,A_Test_Result,B_O2,B_N2,B_CO2,B_CO,B_H2,B_CH4,B_C2H2,B_C2H4,B_C2H6,B_C3H6,B_C3H8,B_BD,B_WC,B_PF_25,B_PF_100,B_Test_Result,C_O2,C_N2,C_CO2,C_CO,C_H2,C_CH4,C_C2H2,C_C2H4,C_C2H6,C_C3H6,C_C3H8,C_BD,C_WC,C_PF_25,C_PF_100,C_Test_Result
T012023,2025-05-09 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,6M,,,58,,,24119,71094,558,88,1691,137,631,173,15,2,6,68.1,34,0.005,0.174,NORMAL,16839,57001,540,100,2450,194,630,234,25,2,6,58.2,34.2,0.005,0.174,NORMAL,9801,44597,473,94,2975,221,891,269,35,2,6,57.9,35.5,0.005,0.174,NORMAL
56016,2025-05-08 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,,,,48,,52,12130,70024,373,506,2441,264,1503,468,30,2,19,77.8,10,0.2,4.7,NORMAL,12130,70024,373,506,2441,264,1503,468,30,2,19,77.8,10,0.2,4.7,NORMAL,12130,70024,373,506,2441,264,1503,468,30,2,19,77.8,10,0.2,4.7,NORMAL
EDP004301,2025-05-08 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,6M,,,48,,,12130,70024,373,506,2441,264,1503,468,30,2,19,77.8,10,0.2,4.7,NORMAL,12130,70024,373,506,2441,264,1503,468,30,2,19,77.8,10,0.2,4.7,NORMAL,12130,70024,373,506,2441,264,1503,468,30,2,19,77.8,10,0.2,4.7,NORMAL
EDP018401,2025-05-08 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,6M,,,62,,,15812,82308,232,29,3102,299,114,97,27,3,1,83,5.3,0.01,0.465,NORMAL,15812,82308,232,29,3102,299,114,97,27,3,1,83,5.3,0.01,0.465,NORMAL,15812,82308,232,29,3102,299,114,97,27,3,1,83,5.3,0.01,0.465,NORMAL
PP0041B01,2025-05-08 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,6M,,,48,,,21840,76466,192,160,2693,178,207,116,10,2,2,87.2,7.5,0,0.140,NORMAL,21840,76466,192,160,2693,178,207,116,10,2,2,87.2,7.5,0,0.140,NORMAL,21840,76466,192,160,2693,178,207,116,10,2,2,87.2,7.5,0,0.140,NORMAL
54001,2025-03-25 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,,,,,44,,,29955,79941,932,95,296,20,172,21,0,4,0,84.6,23.7,0.008,0.572,NORMAL,29955,79941,932,95,296,20,172,21,0,4,0,84.6,23.7,0.008,0.572,NORMAL,29955,79941,932,95,296,20,172,21,0,4,0,84.6,23.7,0.008,0.572,NORMAL
6310534,2025-03-24 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,,,,,48,,,29216,88695,1441,258,226,37,188,29,1,5,1,97.6,6.7,0.006,0.089,NORMAL,29216,88695,1441,258,226,37,188,29,1,5,1,97.6,6.7,0.006,0.089,NORMAL,29216,88695,1441,258,226,37,188,29,1,5,1,97.6,6.7,0.006,0.089,NORMAL
6310535,2025-03-24 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,,,,,66,,,26636,83988,1696,304,479,74,570,84,4,14,1,75.9,8.3,0.006,0.155,NORMAL,26636,83988,1696,304,479,74,570,84,4,14,1,75.9,8.3,0.006,0.155,NORMAL,26636,83988,1696,304,479,74,570,84,4,14,1,75.9,8.3,0.006,0.155,NORMAL
6310536,2025-03-24 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,,,,,52,,,1599,87000,1599,303,298,46,243,36,2,6,1,77.1,9.8,0.012,0.118,NORMAL,1599,87000,1599,303,298,46,243,36,2,6,1,77.1,9.8,0.012,0.118,NORMAL,1599,87000,1599,303,298,46,243,36,2,6,1,77.1,9.8,0.012,0.118,NORMAL
6310537,2025-03-24 00:00:00,,,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,,,,58,,,37563,90291,727,52,5,12,78,16,1,4,1,78,10.9,0.011,0.219,NORMAL,37563,90291,727,52,5,12,78,16,1,4,1,78,10.9,0.011,0.219,NORMAL,37563,90291,727,52,5,12,78,16,1,4,1,78,10.9,0.011,0.219,NORMAL
20083122TIC003,2025-03-18 00:00:00,,Chayaporn S.,,HITACHI,,HITACHI,,,,52,,,7505,17072,588,3,21,1,6,0,0,0,0,97.3,10.4,0,0,NORMAL,8360,21322,607,3,7,0,1,0,0,0,0,98.6,8.7,0,0,NORMAL,9339,24056,619,6,7,0,0,0,0,0,0,99.2,11.2,0,0,NORMAL
5011858,2025-03-13 00:00:00,,Chayaporn S.,Mr.Jirasak S.,Hitachi,GPSC,2025-00405,6M,2025-03-13 00:00:00,,54,,,35765,84332,602,14,35,9,116,17,10,4,2,201,18.7,-,-,NORMAL,35765,84332,602,14,35,9,116,17,10,4,2,201,18.7,-,-,NORMAL,35765,84332,602,14,35,9,116,17,10,4,2,201,18.7,-,-,NORMAL
510049,2025-03-13 00:00:00,,Chayaporn S.,,HITACHI,,HITACHI,6M,,,,,,8336,30306,458,16,897,35,371,44,0,42,2,53.5,27.9,0.010,0.193,NORMAL,9013,35132,461,2,1087,44,440,51,2,24,1,65.8,30,0.010,0.212,NORMAL,9479,37006,450,18,1351,49,484,55,0,52,1,93.1,29.9,0.001,0.223,NORMAL
9724075,2025-03-13 00:00:00,,Chayaporn S.,Mr.Jirasak S.,Hitachi,GPSC,2025-00408,6M,2025-03-13 00:00:00,-,52,-,-,34495,85843,1909,124,46,20,183,104,5,34,2,66.2,18.5,0.011,0.996,NORMAL,34495,85843,1909,124,46,20,183,104,5,34,2,66.2,18.5,0.011,0.996,NORMAL,34495,85843,1909,124,46,20,183,104,5,34,2,66.2,18.5,0.011,0.996,NORMAL
9724076,2025-03-13 00:00:00,,Chayaporn S.,Mr.Jirasak S.,Hitachi,GPSC,2025-00407,6M,2025-03-13 00:00:00,-,52,-,-,33537,81135,1074,80,60,11,131,29,1,5,1,95.8,15.6,0.985,0.604,NORMAL,33537,81135,1074,80,60,11,131,29,1,5,1,95.8,15.6,0.985,0.604,NORMAL,33537,81135,1074,80,60,11,131,29,1,5,1,95.8,15.6,0.985,0.604,NORMAL
6512362,2025-03-12 00:00:00,,Chayaporn S.,Mr.Jirasak S.,Hitachi,GPSC,2025-00403,6M,2025-03-12 00:00:00,-,62,-,-,26490,94241,1671,323,97,12,0,3,1,2,0,84.9,13.8,0.002,0.030,NORMAL,26490,94241,1671,323,97,12,0,3,1,2,0,84.9,13.8,0.002,0.030,NORMAL,26490,94241,1671,323,97,12,0,3,1,2,0,84.9,13.8,0.002,0.030,NORMAL
6512363,2025-03-12 00:00:00,,Chayaporn S.,Mr.Jirasak S.,Hitachi,GPSC,2025-00404,6M,2025-03-12 00:00:00,-,64,-,-,29711,103329,1759,334,93,14,0,3,1,2,0,90.0,17.6,0.009,0.215,NORMAL,29711,103329,1759,334,93,14,0,3,1,2,0,90.0,17.6,0.009,0.215,NORMAL,29711,103329,1759,334,93,14,0,3,1,2,0,90.0,17.6,0.009,0.215,NORMAL
9724074,2025-03-12 00:00:00,,Chayaporn S.,Mr.Jirasak S.,Hitachi,GPSC,2025-00406,6M,2025-03-12 00:00:00,-,62,-,-,34135,85725,1809,129,89,34,591,182,18,82,6,72.5,15.9,0.003,0.230,NORMAL,34135,85725,1809,129,89,34,591,182,18,82,6,72.5,15.9,0.003,0.230,NORMAL,34135,85725,1809,129,89,34,591,182,18,82,6,72.5,15.9,0.003,0.230,NORMAL
20083122TIC008,2025-03-11 00:00:00,,Chayaporn S.,,HITACHI,,HITACHI,,,,36,36,,11253,32563,589,20,4,1,0,8,0,10,0,98.2,11.2,0.033,0.323,NORMAL,11253,32563,589,20,4,1,0,8,0,10,0,98.2,11.2,0.033,0.323,NORMAL,11253,32563,589,20,4,1,0,8,0,10,0,98.2,11.2,0.033,0.323,NORMAL
EDP008001,2025-03-11 00:00:00,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,Hitachi Energy Lab,6M 2025,,,,,,11865,67366,342,14,2011,169,11,6,4,25,21,91.6,4.7,0,0.1,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
PTE 1689/01,2025-03-10 00:00:00,,Chayaporn S.,,HITACHI,,HITACHI,,,,50,,,11929,65085,1001,184,6558,623,5747,707,27,131,29,71.9,24,0.005,0.718,NORMAL,13352,62581,942,179,7491,657,5720,705,28,134,29,42,23.8,0.007,0.526,NORMAL,15364,62064,1079,152,4836,565,5275,688,27,134,29,55.4,28.9,0.005,0.440,NORMAL
PTE 1689/02,2025-03-10 00:00:00,,Chayaporn S.,,HITACHI,,,,,,52,,,9598,57104,841,139,10084,722,6338,787,29,140,35,63.9,19.3,0.007,0.382,NORMAL,13259,59270,963,152,7412,605,5650,676,25,120,30,60,20.6,0.017,0.505,NORMAL,14530,67559,959,160,7029,666,6176,743,27,132,33,42.7,20.8,0.008,0.432,NORMAL
PTE 1689/03,2025-03-10 00:00:00,,Chayaporn S.,,HITACHI,,,,,,46,,,19046,72221,487,62,2291,152,1544,157,14,55,12,56.1,20.5,0.009,0.458,NORMAL,17199,68752,472,47,1734,118,1322,134,9,54,12,65.3,20.9,0.009,0.458,NORMAL,12359,69390,442,49,2747,136,1441,145,14,59,13,97.3,21.5,0.006,0.448,NORMAL
PTE 1689/03,2025-03-10 00:00:00,,Chayaporn S.,Pimchart P.,Hitachi Energy,GPSC,,,,,46,,,19046,72221,487,62,2291,152,1544,157,14,55,12,56.1,20.5,0.009,0.458,NORMAL,472,68752,472,47,1734,118,1322,134,9,54,12,65.3,20.9,0.012,0.449,NORMAL,12359,69390,442,49,2747,136,1441,145,10,59,13,97.3,21.5,0.006,0.448,NORMAL
PTE 1689/03,2025-03-10 00:00:00,,Chayaporn S.,Mr.Jirasak S.,Hitachi Energy,GPSC,HITACHI 2025-00332,6M 2025,2025-03-10 00:00:00,,46,,,19046,72221,487,62,2291,152,1544,157,14,55,12,56.1,20.5,0.009,0.458,NORMAL,17199,68752,472,47,1734,118,1322,134,9,54,12,65.3,20.9,0.012,0.449,NORMAL,12359,69390,442,49,2747,136,1441,145,10,29,13,97.3,21.5,0.006,0.448,NORMAL
PTE 1689/04,2025-03-10 00:00:00,,Chayaporn S.,,HITACHI,,,,,,,,,5807,47948,2951,554,18300,1676,14214,2023,90,333,91,92.5,25.8,0.011,0.754,NORMAL,10063,53126,2953,533,16171,1487,13171,1851,81,314,87,82.2,28.3,0.012,0.710,NORMAL,8950,51517,2900,528,15288,1536,13474,1903,84,311,87,76.3,27.8,0.011,0.712,NORMAL
20083122TIC003,2025-02-11 00:00:00,,Mr. Suthep S.,,RTH,,,,,,,,,,,,,,,,,,,,81.8,3.60,-,-,NORMAL,,,,,,,,,,,,81.1,3.65,-,-,NORMAL,,,,,,,,,,,,82.4,3.71,-,-,NORMAL
4912022,2024-11-15 00:00:00,,Chayaporn S.,Pimchart P.,Hitachi Energy,GPSC,,12M,,,42,,,11518,37202,601,96,5311,211,2991,215,8,34,4,69.3,15,0.002,0.208,NORMAL,11518,37202,601,96,5311,211,2991,215,8,34,4,69.3,15,0.002,0.208,NORMAL,11518,37202,601,96,5311,211,2991,215,8,34,4,69.3,15,0.002,0.208,NORMAL
4912023,2024-11-15 00:00:00,,Chayaporn S.,,Hitachi Energy,GPSC,,12M,,,43,,,9140,25709,560,124,6239,258,3333,256,8,39,2,86.6,15.8,0.029,4.5,NORMAL,9140,25709,560,124,6239,258,3333,256,8,39,2,86.6,15.8,0.029,4.5,NORMAL,9140,25709,560,124,6239,258,3333,256,8,39,2,86.6,15.8,0.029,4.5,NORMAL
PP0158B01,2024-11-15 00:00:00,,Chayaporn S.,Pimchart P.,Hitachi Energy,GPSC,,12M,,,,,,15335,63257,127,81,892,125,60,299,115,15,43,90.9,5.9,0.003,0.615,NORMAL,15335,63257,127,81,892,125,60,299,115,15,43,90.9,5.9,0.003,0.615,NORMAL,15335,63257,127,81,892,125,60,299,115,15,43,90.9,5.9,0.003,0.615,NORMAL
PP0181B01,2024-11-14 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,,12M,,,46,,,21821,58816,62,26,53,10,3,6,1,1,4,83.7,3.5,0.0,0.610,NORMAL,21821,58816,62,26,53,10,3,6,1,1,4,83.7,3.5,0.0,0.610,NORMAL,21821,58816,62,26,53,10,3,6,1,1,4,83.7,3.5,0.0,0.610,NORMAL
6110202,2024-11-13 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,,12M,,,50,,,21262,58710,991,228,1502,118,1239,152,20,38,3,71.2,15.1,0.038,0.888,NORMAL,21262,58710,991,228,1502,118,1239,152,20,38,3,71.2,15.1,0.038,0.888,NORMAL,21262,58710,991,228,1502,118,1239,152,20,38,3,71.2,15.1,0.038,0.888,NORMAL
6110203,2024-11-13 00:00:00,,Chayaporn Somsriyo,Pimchart P.,Hitachi Energy,GPSC,,12M,,,44,,,26562,60951,693,50,116,27,793,139,14,92,7,64.2,13.9,0.086,3.071,NORMAL,26562,60951,693,50,116,27,793,139,14,92,7,64.2,13.9,0.086,3.071,NORMAL,26562,60951,693,50,116,27,793,139,14,92,7,64.2,13.9,0.086,3.071,NORMAL
PP0084B01,2024-11-11 00:00:00,,Chayaporn S,Pimchart P.,Hitachi Energy,GPSC,,,,,50,,,16867,49582,83,27,98,23,10,24,4,2,3,93,2.8,0.001,0.234,NORMAL,16867,49582,83,27,98,23,10,24,4,2,3,93,2.8,0.001,0.234,NORMAL,16867,49582,83,27,98,23,10,24,4,2,3,93,2.8,0.001,0.234,NORMAL
PP0102B01,2024-11-11 00:00:00,,Chayaporn S,Pimchart P.,Hitachi Energy,GPSC,,,,,50,,,19458,60522,55,48,139,38,18,49,64,6,36,90.1,4.2,0.003,0.419,NORMAL,19458,60522,55,48,139,38,18,49,64,6,36,90.1,4.2,0.003,0.419,NORMAL,19458,60522,55,48,139,38,18,49,64,6,36,90.1,4.2,0.003,0.419,NORMAL
54001,2024-10-29 00:00:00,,,,,,,,2024-10-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
54002,2024-10-29 00:00:00,,Chayaporn Somsriyo,Mr.Pimchart P.,Hitachi Energy,GPSC,,,2024-10-21 00:00:00,,50,,,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL,5693,12745,355,13,19,1,7,1,0,0,0,92.1,17.5,0.007,0.304,NORMAL
