SERIAL_NUMBER,DATE,TEST_VOLTAGE,H1MAX,H1CENTER,H1MIN,H1TAP1,H1NO1,H1TAP2,H1NO2,H2MAX,H2CENTER,H2MIN,H2NO1,H2NO2,H3MAX,H3CENTER,H3MIN,H3NO1,H3NO2,ERRH1MAX,ERRH1CENTER,ERRH1MIN,ERRH1TAP1,ERRH1TAP2,ERRH2MAX,ERRH2CENTER,ERRH2MIN,ERRH2TAP1,ERRH2TAP2,ERRH3MAX,ERRH3CENTER,ERRH3MIN,ERRH3TAP1,ERRH3TAP2,XTESTV,X1,X2,X3,YTESTV,Y1,Y2,Y3,H1COM1,H2COM1,H3COM1,H1COM2,H2COM2,H3COM2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR
9624007,8/29/2018,200,-,45.237,-,-,-,-,-,-,43.214,-,-,-,-,40.079,-,-,-,-,0.53,-,-,-,-,1.79,-,-,-,-,0.2,-,-,-,200,204.98,168,200.19,-,-,-,-,-,-,-,-,-,-,-,Mr.Chaichaleom Waihor,Jirasak S.,TIS,GLOW,TESTRANO 600,DA212X,4/19/2018,34,45,41,60,,1.79
9624007,8/9/2021,10000,,45,,,,,,,44,,,,,40,,,,,0,,,,,0,,,,,0,,,,-,-,-,-,-,-,-,-,,,,,,,211007491,Mr.Jirasak S.,Mr.Sittipong K.,GPSC,GPSC,TESTRANO 600,DA193X,2/16/2018,32,40,40,64,,0
9624007,8/17/2024,3000,70.962,62.201,71.22,,,,,153.062,134.275,153.228,,,153.688,135.117,154.058,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,Mr. Polasart T.,,HITACHI,,TESTRANO 600,FJ571Z,5/1/2025,38,38,38,54,3Year PM Transformer,0
9640549,10/26/2018,200,-,-,,,,,,-,-,,,,-,-,,,,-,-,,,,-,-,,,,-,-,,,,200,86.12,70.58,100.53,200,86.66,70.67,100.55,,,,,,,181089215,Mr.Thanawat K.,Jirasak S.,"TIS Engineering and Service Co.,Ltd.",GLOW-CMT,TESTRANO 600,,,33,,,62,,0
9640549,11/1/2020,200,-,7.435,-,,-,,-,-,6.075,-,-,-,-,7.681,,-,-,-,0.47,-,-,-,-,0.41,-,-,-,-,0.25,,-,-,200,1.591,1.586,1.537,200,1.6,1.587,1.545,-,-,-,-,-,-,,Mr.Chaichaleom W.,Mr.Pimchart P.,TIS,GPSC,TESTRANO 600,DA212X,6/21/2020,32,38,38,70,,0.47
9640549,8/27/2023,200,-,7.46,-,-,-,-,-,-,6.38,-,-,-,-,7.81,-,-,-,-,0.81,-,-,-,-,4.59,-,-,-,-,1.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Prawit N.,Mr.Jirasak S.,Hitachi,GPSC,,,,,,,,,4.59
97.2.4074,1/18/2009,200,184.1,179.2,177.9,1R,177.9,1L,181.8,143.8,139.6,138.6,138.8,141.7,183.6,178.6,177.2,177.5,181.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9724074,6/20/2017,200,,38.835,,,,,,,50.716,,,,,56.54,,,,,0,,,,,0,,,,,0,,,,200,314.8,224.9,289.2,,,,,,,,,,,,Anusit S.,Weerachai K.,"TIS Engineering and Service Co.,Ltd.",GLOW-ME,Variac / Fluke 189,89550211,,38,39,40,45,,0
9724075,8/28/2014,200,,,,-,13.049,,,,,,17.316,,,,,17.348,,,,,,,,,,,,,,,,,200,148,110.02,147.1,,,,,,,,,,,,Mr. Itsared P,,"TIS Engineering & Service Co.,Ltd",,,,,,,,,,
9724075,5/19/2016,200,,15.76,,,,,,,22.66,,,,,19.16,,,,,Infinity,,,,,Infinity,,,,,Infinity,,,,200,198.57,159.36,228.14,,,,,,,,,,,,Mr. Anysit S.,Mr. Weerachai Kulala,"TIS Engineering & Service Co.,Ltd",ENGIE GLOW,Variac/Fulke 189,88700532,5/19/2016,28,38,40,52,,Infinity
